#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5802,4555929,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210227,-
5802,25249230,ETH_00000010,ETH_00000010,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,-,20161022,-
5802,25249231,ETH_00000015,ETH_00000015,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,-,20161022,-
5802,25249232,ETH_00000020,ETH_00000020,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,-,20161022,-
5802,25249233,ETH_00000025,ETH_00000025,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,-,20161022,-
5802,25249234,ETH_00000030,ETH_00000030,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,-,20161022,-
5802,25249235,ETH_00000040,ETH_00000040,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,-,20161022,-
5802,25249236,ETH_00000045,ETH_00000045,-,-,Unknown,-,"prolyl-tRNA synthetase, putative",protein-coding,-,-,-,-,20161022,-
5802,25249237,ETH_00000050,ETH_00000050,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,-,20161022,-
5802,25249238,ETH_00000055,ETH_00000055,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,-,20161022,-
5802,25249239,ETH_00000060,ETH_00000060,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,-,20161022,-
5802,25249240,ETH_00000065,ETH_00000065,-,-,Unknown,-,"RER1 protein, putative",protein-coding,-,-,-,-,20161022,-
5802,25249241,ETH_00000070,ETH_00000070,-,-,Unknown,-,"bromodomain-containing protein, putative",protein-coding,-,-,-,-,20161022,-
5802,25249242,ETH_00000075,ETH_00000075,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,-,20161022,-
5802,25249243,ETH_00000080,ETH_00000080,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,-,20161022,-
5802,25249244,ETH_00000085,ETH_00000085,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,-,20161022,-
5802,25249245,ETH_00000090,ETH_00000090,-,-,Unknown,-,"NOL1/NOP2/sun family protein, putative",protein-coding,-,-,-,-,20161022,-
5802,25249246,ETH_00000095,ETH_00000095,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,-,20161022,-
