#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301710,60332029,2,I5H71_gp002,SEA_NIVRAT_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2301710,60332030,3,I5H71_gp003,SEA_NIVRAT_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210313,-
2301710,60332031,4,I5H71_gp004,SEA_NIVRAT_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2301710,60332032,5,I5H71_gp005,SEA_NIVRAT_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210417,-
2301710,60332033,6,I5H71_gp006,SEA_NIVRAT_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
2301710,60332034,7,I5H71_gp007,SEA_NIVRAT_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2301710,60332035,9,I5H71_gp009,SEA_NIVRAT_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2301710,60332036,13,I5H71_gp012,SEA_NIVRAT_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2301710,60332037,14,I5H71_gp014,SEA_NIVRAT_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210406,-
2301710,60332038,15,I5H71_gp015,SEA_NIVRAT_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301710,60332039,16,I5H71_gp016,SEA_NIVRAT_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301710,60332040,17,I5H71_gp017,SEA_NIVRAT_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301710,60332041,18,I5H71_gp018,SEA_NIVRAT_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301710,60332042,19,I5H71_gp019,SEA_NIVRAT_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2301710,60332043,20,I5H71_gp020,SEA_NIVRAT_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2301710,60332044,21,I5H71_gp021,SEA_NIVRAT_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301710,60332045,22,I5H71_gp022,SEA_NIVRAT_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332046,23,I5H71_gp023,SEA_NIVRAT_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301710,60332047,24,I5H71_gp024,SEA_NIVRAT_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301710,60332048,25,I5H71_gp025,SEA_NIVRAT_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332049,26,I5H71_gp026,SEA_NIVRAT_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332050,27,I5H71_gp027,SEA_NIVRAT_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332051,28,I5H71_gp028,SEA_NIVRAT_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332052,29,I5H71_gp029,SEA_NIVRAT_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332053,30,I5H71_gp030,SEA_NIVRAT_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210406,-
2301710,60332054,31,I5H71_gp031,SEA_NIVRAT_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2301710,60332055,34,I5H71_gp034,SEA_NIVRAT_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332056,35,I5H71_gp035,SEA_NIVRAT_35,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210129,-
2301710,60332057,36,I5H71_gp036,SEA_NIVRAT_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332058,37,I5H71_gp037,SEA_NIVRAT_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332059,38,I5H71_gp038,SEA_NIVRAT_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332060,39,I5H71_gp039,SEA_NIVRAT_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332061,40,I5H71_gp040,SEA_NIVRAT_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332062,41,I5H71_gp041,SEA_NIVRAT_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332063,42,I5H71_gp042,SEA_NIVRAT_42,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
