#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2081627,60333185,2,I5H82_gp002,SEA_PRISCILLA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2081627,60333186,3,I5H82_gp003,SEA_PRISCILLA_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2081627,60333187,4,I5H82_gp004,SEA_PRISCILLA_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2081627,60333188,5,I5H82_gp005,SEA_PRISCILLA_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210417,-
2081627,60333189,6,I5H82_gp006,SEA_PRISCILLA_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
2081627,60333190,7,I5H82_gp007,SEA_PRISCILLA_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2081627,60333191,8,I5H82_gp008,SEA_PRISCILLA_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2081627,60333192,9,I5H82_gp009,SEA_PRISCILLA_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2081627,60333193,10,I5H82_gp010,SEA_PRISCILLA_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2081627,60333194,11,I5H82_gp011,SEA_PRISCILLA_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2081627,60333195,13,I5H82_gp012,SEA_PRISCILLA_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2081627,60333196,14,I5H82_gp014,SEA_PRISCILLA_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
