#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483667,63026510,2,J1766_gp02,SEA_BIZZY_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210309,-
2483667,63026511,3,J1766_gp03,SEA_BIZZY_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026512,4,J1766_gp04,SEA_BIZZY_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026513,5,J1766_gp05,SEA_BIZZY_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026514,6,J1766_gp06,SEA_BIZZY_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026515,7,J1766_gp07,SEA_BIZZY_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026516,8,J1766_gp08,SEA_BIZZY_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026517,9,J1766_gp09,SEA_BIZZY_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026518,10,J1766_gp10,SEA_BIZZY_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026519,11,J1766_gp11,SEA_BIZZY_11,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210309,-
2483667,63026520,12,J1766_gp12,SEA_BIZZY_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026521,13,J1766_gp13,SEA_BIZZY_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210309,-
2483667,63026522,14,J1766_gp14,SEA_BIZZY_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026523,15,J1766_gp15,SEA_BIZZY_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026524,16,J1766_gp16,SEA_BIZZY_16,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210309,-
2483667,63026525,17,J1766_gp17,SEA_BIZZY_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026526,18,J1766_gp18,SEA_BIZZY_18,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210309,-
2483667,63026527,19,J1766_gp19,SEA_BIZZY_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026528,20,J1766_gp20,SEA_BIZZY_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026529,21,J1766_gp21,SEA_BIZZY_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
