#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483672,65117105,2,KNU21_gp02,SEA_NORDENBERG_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210607,-
2483672,65117106,3,KNU21_gp03,SEA_NORDENBERG_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117107,4,KNU21_gp04,SEA_NORDENBERG_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117108,5,KNU21_gp05,SEA_NORDENBERG_5,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210607,-
2483672,65117109,6,KNU21_gp06,SEA_NORDENBERG_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117110,7,KNU21_gp07,SEA_NORDENBERG_7,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2483672,65117111,8,KNU21_gp08,SEA_NORDENBERG_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117112,9,KNU21_gp09,SEA_NORDENBERG_9,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210607,-
2483672,65117113,10,KNU21_gp10,SEA_NORDENBERG_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117114,11,KNU21_gp11,SEA_NORDENBERG_11,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210607,-
2483672,65117115,12,KNU21_gp12,SEA_NORDENBERG_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117116,13,KNU21_gp13,SEA_NORDENBERG_13,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2483672,65117117,14,KNU21_gp14,SEA_NORDENBERG_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117118,15,KNU21_gp15,SEA_NORDENBERG_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117119,16,KNU21_gp16,SEA_NORDENBERG_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117120,17,KNU21_gp17,SEA_NORDENBERG_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117121,18,KNU21_gp18,SEA_NORDENBERG_18,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
2483672,65117122,19,KNU21_gp19,SEA_NORDENBERG_19,-,-,-,glycoside hydrolase,protein-coding,-,-,-,glycoside hydrolase,20210607,-
2483672,65117123,20,KNU21_gp20,SEA_NORDENBERG_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117124,21,KNU21_gp21,SEA_NORDENBERG_21,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210607,-
2483672,65117125,22,KNU21_gp22,SEA_NORDENBERG_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117126,23,KNU21_gp23,SEA_NORDENBERG_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117127,24,KNU21_gp24,SEA_NORDENBERG_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2483672,65117128,25,KNU21_gp25,SEA_NORDENBERG_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210607,-
2483672,65117129,26,KNU21_gp26,SEA_NORDENBERG_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117130,27,KNU21_gp27,SEA_NORDENBERG_27,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210607,-
2483672,65117131,28,KNU21_gp28,SEA_NORDENBERG_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2483672,65117132,29,KNU21_gp29,SEA_NORDENBERG_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2483672,65117133,30,KNU21_gp30,SEA_NORDENBERG_30,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210609,-
2483672,65117134,31,KNU21_gp31,SEA_NORDENBERG_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117135,32,KNU21_gp32,SEA_NORDENBERG_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2483672,65117136,33,KNU21_gp33,SEA_NORDENBERG_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117137,34,KNU21_gp34,SEA_NORDENBERG_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117138,35,KNU21_gp35,SEA_NORDENBERG_35,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2483672,65117139,36,KNU21_gp36,SEA_NORDENBERG_36,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210607,-
2483672,65117140,37,KNU21_gp37,SEA_NORDENBERG_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117141,38,KNU21_gp38,SEA_NORDENBERG_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117142,39,KNU21_gp39,SEA_NORDENBERG_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117143,40,KNU21_gp40,SEA_NORDENBERG_40,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210607,-
2483672,65117144,41,KNU21_gp41,SEA_NORDENBERG_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117145,42,KNU21_gp42,SEA_NORDENBERG_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117146,43,KNU21_gp43,SEA_NORDENBERG_43,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
2483672,65117147,44,KNU21_gp44,SEA_NORDENBERG_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117148,45,KNU21_gp45,SEA_NORDENBERG_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117149,46,KNU21_gp46,SEA_NORDENBERG_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117150,47,KNU21_gp47,SEA_NORDENBERG_47,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210607,-
2483672,65117151,48,KNU21_gp48,SEA_NORDENBERG_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117152,49,KNU21_gp49,SEA_NORDENBERG_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117153,50,KNU21_gp50,SEA_NORDENBERG_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117154,51,KNU21_gp51,SEA_NORDENBERG_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117155,52,KNU21_gp52,SEA_NORDENBERG_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117156,53,KNU21_gp53,SEA_NORDENBERG_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117157,55,KNU21_gp55,SEA_NORDENBERG_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117158,56,KNU21_gp56,SEA_NORDENBERG_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117159,57,KNU21_gp57,SEA_NORDENBERG_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2483672,65117160,58,KNU21_gp58,SEA_NORDENBERG_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117161,59,KNU21_gp59,SEA_NORDENBERG_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117162,60,KNU21_gp60,SEA_NORDENBERG_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117163,61,KNU21_gp61,SEA_NORDENBERG_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117164,62,KNU21_gp62,SEA_NORDENBERG_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117165,63,KNU21_gp63,SEA_NORDENBERG_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117166,64,KNU21_gp64,SEA_NORDENBERG_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117167,65,KNU21_gp65,SEA_NORDENBERG_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117168,67,KNU21_gp67,SEA_NORDENBERG_67,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210607,-
2483672,65117169,68,KNU21_gp68,SEA_NORDENBERG_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117170,69,KNU21_gp69,SEA_NORDENBERG_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117171,70,KNU21_gp70,SEA_NORDENBERG_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117172,71,KNU21_gp71,SEA_NORDENBERG_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
