#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1141141,13997821,D862_gp229,D862_gp229,ACG-C40_0045,-,-,-,immunity to superinfection membrane protein,protein-coding,-,-,-,immunity to superinfection membrane protein,20210129,-
1141141,13997822,D862_gp173,D862_gp173,ACG-C40_0101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997823,D862_gp278,D862_gp278,ACG-C40_0132a,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997824,D862_gp142,D862_gp142,ACG-C40_0132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997825,D862_gp066,D862_gp066,ACG-C40_0208,-,-,-,lysis inhibition accessory protein,protein-coding,-,-,-,lysis inhibition accessory protein,20200629,-
1141141,13997826,D862_gp037,D862_gp037,ACG-C40_0237,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997827,D862_gp010,D862_gp010,ACG-C40_0264,-,-,-,acridine resistance protein,protein-coding,-,-,-,acridine resistance protein,20200629,-
1141141,13997828,D862_gp009,D862_gp009,ACG-C40_0265,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20200629,-
1141141,13997829,D862_gp272,D862_gp272,ACG-C40_0002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1141141,13997830,D862_gp271,D862_gp271,ACG-C40_0003,-,-,-,topoisomerase II large subunit,protein-coding,-,-,-,topoisomerase II large subunit,20201221,-
1141141,13997831,D862_gp270,D862_gp270,ACG-C40_0004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997832,D862_gp269,D862_gp269,ACG-C40_0005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997833,D862_gp268,D862_gp268,ACG-C40_0006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997834,D862_gp267,D862_gp267,ACG-C40_0007,-,-,-,mRNA metabolism modulator goF,protein-coding,-,-,-,mRNA metabolism modulator goF,20200629,-
1141141,13997835,D862_gp266,D862_gp266,ACG-C40_0008,-,-,-,modifier of suppressor tRNAs,protein-coding,-,-,-,modifier of suppressor tRNAs,20200629,-
1141141,13997836,D862_gp265,D862_gp265,ACG-C40_0009,-,-,-,modifier of transcription,protein-coding,-,-,-,modifier of transcription,20200629,-
1141141,13997837,D862_gp264,D862_gp264,ACG-C40_0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997838,D862_gp263,D862_gp263,ACG-C40_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997839,D862_gp262,D862_gp262,ACG-C40_0012,-,-,-,exonuclease A,protein-coding,-,-,-,exonuclease A,20200629,-
1141141,13997840,D862_gp261,D862_gp261,ACG-C40_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997841,D862_gp260,D862_gp260,ACG-C40_0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997842,D862_gp259,D862_gp259,ACG-C40_0015,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200905,-
1141141,13997843,D862_gp258,D862_gp258,ACG-C40_0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997844,D862_gp257,D862_gp257,ACG-C40_0017,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20200629,-
1141141,13997845,D862_gp256,D862_gp256,ACG-C40_0018,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20200629,-
1141141,13997846,D862_gp255,D862_gp255,ACG-C40_0019,-,-,-,ADP-ribosylase,protein-coding,-,-,-,ADP-ribosylase,20200629,-
1141141,13997847,D862_gp254,D862_gp254,ACG-C40_0020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997848,D862_gp253,D862_gp253,ACG-C40_0021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997849,D862_gp252,D862_gp252,ACG-C40_0022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997850,D862_gp251,D862_gp251,ACG-C40_0023,-,-,-,transcription modulator,protein-coding,-,-,-,transcription modulator,20200629,-
1141141,13997851,D862_gp250,D862_gp250,ACG-C40_0024,-,-,-,transcription modulator under heat shock,protein-coding,-,-,-,transcription modulator under heat shock,20200629,-
1141141,13997852,D862_gp249,D862_gp249,ACG-C40_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997853,D862_gp248,D862_gp248,ACG-C40_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997854,D862_gp247,D862_gp247,ACG-C40_0027,-,-,-,small outer capsid protein,protein-coding,-,-,-,small outer capsid protein,20200629,-
1141141,13997855,D862_gp246,D862_gp246,ACG-C40_0028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997856,D862_gp245,D862_gp245,ACG-C40_0029,-,-,-,dCTPase,protein-coding,-,-,-,dCTPase,20200629,-
1141141,13997857,D862_gp244,D862_gp244,ACG-C40_0030,-,-,-,DNA adenine methyltransferase,protein-coding,-,-,-,DNA adenine methyltransferase,20210212,-
1141141,13997858,D862_gp243,D862_gp243,ACG-C40_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
