#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1354511,26645024,3,AVV42_gp01,ANUBIS_3,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1354511,26645025,4,AVV42_gp02,ANUBIS_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645026,5,AVV42_gp03,ANUBIS_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645027,6,AVV42_gp04,ANUBIS_6,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1354511,26645028,7,AVV42_gp05,ANUBIS_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645029,8,AVV42_gp06,ANUBIS_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645031,10,AVV42_gt02,ANUBIS_10,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1354511,26645032,11,AVV42_gt03,ANUBIS_11,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1354511,26645033,12,AVV42_gp93,ANUBIS_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645034,13,AVV42_gp92,ANUBIS_13,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1354511,26645035,14,AVV42_gp91,ANUBIS_14,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1354511,26645036,15,AVV42_gp90,ANUBIS_15,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1354511,26645037,16,AVV42_gp89,ANUBIS_16,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210212,-
1354511,26645038,17,AVV42_gp88,ANUBIS_17,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1354511,26645039,18,AVV42_gp87,ANUBIS_18,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1354511,26645040,19,AVV42_gp86,ANUBIS_19,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210212,-
1354511,26645041,20,AVV42_gp85,ANUBIS_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645042,21,AVV42_gp84,ANUBIS_21,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
