#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1236573,14296014,ISGA_2,ISGA_2,-,-,-,-,phage minor structural protein,protein-coding,-,-,-,phage minor structural protein,20200629,-
1236573,14296015,ISGA_3,ISGA_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296016,ISGA_4,ISGA_4,-,-,-,-,N-acetylmuramoyl-L-alanine amidase family protein,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase family protein,20200629,-
1236573,14296017,ISGA_5,ISGA_5,-,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20200629,-
1236573,14296018,ISGA_6,ISGA_6,-,-,-,-,helix-turn-helix family protein,protein-coding,-,-,-,helix-turn-helix family protein,20200629,-
1236573,14296019,ISGA_7,ISGA_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296020,ISGA_8,ISGA_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296021,ISGA_9,ISGA_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296022,ISGA_10,ISGA_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296023,ISGA_11,ISGA_11,-,-,-,-,Gp157 family protein,protein-coding,-,-,-,Gp157 family protein,20200629,-
1236573,14296024,ISGA_12,ISGA_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296025,ISGA_13,ISGA_13,-,-,-,-,ERF superfamily protein,protein-coding,-,-,-,ERF superfamily protein,20200905,-
1236573,14296026,ISGA_14,ISGA_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296027,ISGA_15,ISGA_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296028,ISGA_16,ISGA_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296029,ISGA_17,ISGA_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296030,ISGA_18,ISGA_18,-,-,-,-,phage regulatory protein,protein-coding,-,-,-,phage regulatory protein,20200629,-
1236573,14296031,ISGA_19,ISGA_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296032,ISGA_20,ISGA_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296033,ISGA_21,ISGA_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296034,ISGA_22,ISGA_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296035,ISGA_23,ISGA_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296036,ISGA_24,ISGA_24,-,-,-,-,TM2 domain protein,protein-coding,-,-,-,TM2 domain protein,20210123,-
1236573,14296037,ISGA_25,ISGA_25,-,-,-,-,dnaB-like helicase C terminal domain protein,protein-coding,-,-,-,dnaB-like helicase C terminal domain protein,20200629,-
1236573,14296038,ISGA_26,ISGA_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296039,ISGA_27,ISGA_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296040,ISGA_28,ISGA_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296041,ISGA_29,ISGA_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296042,ISGA_30,ISGA_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296043,ISGA_31,ISGA_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296044,ISGA_32,ISGA_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296045,ISGA_33,ISGA_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296046,ISGA_34,ISGA_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296047,ISGA_35,ISGA_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296048,ISGA_36,ISGA_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296049,ISGA_37,ISGA_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296050,ISGA_38,ISGA_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296051,ISGA_39,ISGA_39,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1236573,14296052,ISGA_40,ISGA_40,-,-,-,-,phage terminase large subunit,protein-coding,-,-,-,phage terminase large subunit,20200629,-
1236573,14296053,ISGA_41,ISGA_41,-,-,-,-,phage portal protein,protein-coding,-,-,-,phage portal protein,20200629,-
1236573,14296054,ISGA_42,ISGA_42,-,-,-,-,phage head morphogenesis protein,protein-coding,-,-,-,phage head morphogenesis protein,20200629,-
1236573,14296055,ISGA_43,ISGA_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296056,ISGA_44,ISGA_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296057,ISGA_45,ISGA_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296058,ISGA_46,ISGA_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296059,ISGA_47,ISGA_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296060,ISGA_48,ISGA_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296061,ISGA_49,ISGA_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296062,ISGA_50,ISGA_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296063,ISGA_51,ISGA_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296064,ISGA_52,ISGA_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14296065,ISGA_53,ISGA_53,-,-,-,-,phage tail tape measure protein,protein-coding,-,-,-,phage tail tape measure protein,20200629,-
1236573,14296066,ISGA_1,ISGA_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1236573,14311170,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacillus phage BMBtp2; Bacillus phage vB_BtS_BMBtp2; Bacillus thuringiensis bacteriophage BMBtp2).,other,-,-,-,-,20200513,-
