#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10245,2828243,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (vaccinia virus VV).,other,-,-,-,-,20200711,-
10245,3707494,VACWR036,VACWR036,-,-,-,-,putative monoglyceride lipase,protein-coding,-,-,-,putative monoglyceride lipase,20210417,-
10245,3707495,K6L,VACWR038,-,-,-,-,putative monoglyceride lipase,protein-coding,-,-,-,putative monoglyceride lipase,20210212,-
10245,3707496,K7R,VACWR039,-,-,-,-,unchracterized protein,protein-coding,-,-,-,unchracterized protein,20180815,-
10245,3707497,F1L,VACWR040,-,-,-,-,temporal expression: early,protein-coding,-,-,-,Hypothetical protein,20180922,-
10245,3707498,F2L,VACWR041,-,-,-,-,temporal expression: early,protein-coding,-,-,-,dUTPase,20180815,-
10245,3707499,F3L,VACWR042,-,-,-,-,temporal expression: late,protein-coding,-,-,-,Kelch-like protein,20180815,-
10245,3707500,F4L,VACWR043,-,-,-,-,temporal expression: early,protein-coding,-,-,-,ribonucleotide reductase small subunit,20180815,-
10245,3707501,F5L,VACWR044,-,-,-,-,temporal expression: early,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707502,F6L,VACWR045,-,-,-,-,temporal expression: early,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707503,F7L,VACWR046,-,-,-,-,temporal expression: early,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707504,F8L,VACWR047,-,-,-,-,temporal expression: late,protein-coding,-,-,-,Hypothetical protein,20180815,-
10245,3707505,F9L,VACWR048,-,-,-,-,temporal expression: late,protein-coding,-,-,-,S-S bond formation pathway protein,20180815,-
10245,3707506,F10L,VACWR049,-,-,-,-,temporal expression: late,protein-coding,-,-,-,Ser/Thr kinase,20180815,-
