#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
31535,1262853,orf2,D3p002,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
31535,1262854,cII,D3p076,-,-,-,-,ABC transporter,protein-coding,-,-,-,ABC transporter,20210417,-
31535,1262855,orf3,D3p003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262856,orf76,D3p081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262857,orf82,D3p087,-,-,-,-,putative NinG protein,protein-coding,-,-,-,putative NinG protein,20201220,-
31535,1262858,orf4,D3p004,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
31535,1262859,orf5,D3p005,-,-,-,-,ClpP protease,protein-coding,-,-,-,ClpP protease,20201220,-
31535,1262860,orf6,D3p006,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
31535,1262861,orf72,D3p077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262864,orf9,D3p009,-,-,-,-,gp6-like head-tail connector protein,protein-coding,-,-,-,gp6-like head-tail connector protein,20201220,-
31535,1262865,cI,D3p074,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
31535,1262866,orf78,D3p083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262867,orf10,D3p010,-,-,-,-,head closure protein,protein-coding,-,-,-,head closure protein,20201220,-
31535,1262868,orf81,D3p086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262869,orf11,D3p011,-,-,-,-,KilA-N domain-containing protein,protein-coding,-,-,-,KilA-N domain-containing protein,20201220,-
31535,1262870,orf12,D3p012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262872,D3t001,D3t001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
31535,1262873,orf14,D3p014,-,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20201220,-
31535,1262874,orf15,D3p015,-,-,-,-,DUF3168 domain-containing protein,protein-coding,-,-,-,DUF3168 domain-containing protein,20210417,-
31535,1262875,orf16,D3p016,-,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20200629,-
31535,1262876,orf17,D3p017,-,-,-,-,"tail assembly chaperone family protein, TAC",protein-coding,-,-,-,"tail assembly chaperone family protein, TAC",20210417,-
31535,1262877,orf18,D3p018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262880,orf21,D3p020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262881,orf22,D3p021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262882,orf74,D3p079,-,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20201220,-
31535,1262883,orf23,D3p022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262884,orf24,D3p023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
