#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2027900,60333397,I5H84_gp002,I5H84_gp002,SEA_RITAG_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2027900,60333398,I5H84_gp003,I5H84_gp003,SEA_RITAG_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2027900,60333399,I5H84_gp004,I5H84_gp004,SEA_RITAG_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2027900,60333400,I5H84_gp005,I5H84_gp005,SEA_RITAG_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2027900,60333401,I5H84_gp006,I5H84_gp006,SEA_RITAG_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2027900,60333402,I5H84_gp007,I5H84_gp007,SEA_RITAG_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2027900,60333403,I5H84_gp008,I5H84_gp008,SEA_RITAG_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2027900,60333404,I5H84_gp009,I5H84_gp009,SEA_RITAG_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2027900,60333405,I5H84_gp010,I5H84_gp010,SEA_RITAG_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2027900,60333406,I5H84_gp011,I5H84_gp011,SEA_RITAG_11,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201129,-
2027900,60333407,I5H84_gp012,I5H84_gp012,SEA_RITAG_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2027900,60333408,I5H84_gp014,I5H84_gp014,SEA_RITAG_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2027900,60333409,I5H84_gp013,I5H84_gp013,SEA_RITAG_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2027900,60333410,I5H84_gp015,I5H84_gp015,SEA_RITAG_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027900,60333411,I5H84_gp016,I5H84_gp016,SEA_RITAG_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027900,60333412,I5H84_gp017,I5H84_gp017,SEA_RITAG_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027900,60333413,I5H84_gp018,I5H84_gp018,SEA_RITAG_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027900,60333414,I5H84_gp019,I5H84_gp019,SEA_RITAG_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2027900,60333415,I5H84_gp020,I5H84_gp020,SEA_RITAG_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2027900,60333416,I5H84_gp021,I5H84_gp021,SEA_RITAG_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027900,60333417,I5H84_gp022,I5H84_gp022,SEA_RITAG_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027900,60333418,I5H84_gp023,I5H84_gp023,SEA_RITAG_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027900,60333419,I5H84_gp024,I5H84_gp024,SEA_RITAG_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027900,60333420,I5H84_gp025,I5H84_gp025,SEA_RITAG_25,-,-,-,HTH DNA-binding domain protein,protein-coding,-,-,-,HTH DNA-binding domain protein,20201129,-
2027900,60333421,I5H84_gp026,I5H84_gp026,SEA_RITAG_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333422,I5H84_gp027,I5H84_gp027,SEA_RITAG_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333423,I5H84_gp028,I5H84_gp028,SEA_RITAG_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333424,I5H84_gp029,I5H84_gp029,SEA_RITAG_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2027900,60333425,I5H84_gp030,I5H84_gp030,SEA_RITAG_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333426,I5H84_gp031,I5H84_gp031,SEA_RITAG_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2027900,60333427,I5H84_gp032,I5H84_gp032,SEA_RITAG_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2027900,60333428,I5H84_gp033,I5H84_gp033,SEA_RITAG_33,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2027900,60333429,I5H84_gp034,I5H84_gp034,SEA_RITAG_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2027900,60333430,I5H84_gp035,I5H84_gp035,SEA_RITAG_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333431,I5H84_gp036,I5H84_gp036,SEA_RITAG_36,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210406,-
2027900,60333432,I5H84_gp037,I5H84_gp037,SEA_RITAG_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333433,I5H84_gp038,I5H84_gp038,SEA_RITAG_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333434,I5H84_gp039,I5H84_gp039,SEA_RITAG_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333435,I5H84_gp041,I5H84_gp041,SEA_RITAG_41,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2027900,60333436,I5H84_gp042,I5H84_gp042,SEA_RITAG_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333437,I5H84_gp043,I5H84_gp043,SEA_RITAG_43,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2027900,60333438,I5H84_gp044,I5H84_gp044,SEA_RITAG_44,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20210403,-
2027900,60333439,I5H84_gp045,I5H84_gp045,SEA_RITAG_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333440,I5H84_gp046,I5H84_gp046,SEA_RITAG_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2027900,60333441,I5H84_gp047,I5H84_gp047,SEA_RITAG_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2027900,60333442,I5H84_gp048,I5H84_gp048,SEA_RITAG_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333443,I5H84_gp049,I5H84_gp049,SEA_RITAG_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333444,I5H84_gp050,I5H84_gp050,SEA_RITAG_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333445,I5H84_gp051,I5H84_gp051,SEA_RITAG_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2027900,60333446,I5H84_gp052,I5H84_gp052,SEA_RITAG_52,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2027900,60333447,I5H84_gp053,I5H84_gp053,SEA_RITAG_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2027900,60333448,I5H84_gp054,I5H84_gp054,SEA_RITAG_54,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210403,-
2027900,60333449,I5H84_gp055,I5H84_gp055,SEA_RITAG_55,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210212,-
2027900,60333450,I5H84_gp056,I5H84_gp056,SEA_RITAG_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333451,I5H84_gp057,I5H84_gp057,SEA_RITAG_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333452,I5H84_gp058,I5H84_gp058,SEA_RITAG_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333453,I5H84_gp059,I5H84_gp059,SEA_RITAG_59,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20210212,-
2027900,60333454,I5H84_gp060,I5H84_gp060,SEA_RITAG_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333455,I5H84_gp061,I5H84_gp061,SEA_RITAG_61,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201129,-
2027900,60333456,I5H84_gp062,I5H84_gp062,SEA_RITAG_62,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210529,-
2027900,60333457,I5H84_gp063,I5H84_gp063,SEA_RITAG_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333458,I5H84_gp065,I5H84_gp065,SEA_RITAG_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333459,I5H84_gp067,I5H84_gp067,SEA_RITAG_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333460,I5H84_gp068,I5H84_gp068,SEA_RITAG_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333461,I5H84_gp069,I5H84_gp069,SEA_RITAG_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2027900,60333462,I5H84_gp070,I5H84_gp070,SEA_RITAG_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333463,I5H84_gp071,I5H84_gp071,SEA_RITAG_71,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2027900,60333464,I5H84_gp072,I5H84_gp072,SEA_RITAG_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333465,I5H84_gp073,I5H84_gp073,SEA_RITAG_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333466,I5H84_gp074,I5H84_gp074,SEA_RITAG_74,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210212,-
2027900,60333467,I5H84_gp075,I5H84_gp075,SEA_RITAG_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333468,I5H84_gp076,I5H84_gp076,SEA_RITAG_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333469,I5H84_gp077,I5H84_gp077,SEA_RITAG_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333470,I5H84_gp078,I5H84_gp078,SEA_RITAG_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333471,I5H84_gp079,I5H84_gp079,SEA_RITAG_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333472,I5H84_gp080,I5H84_gp080,SEA_RITAG_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333473,I5H84_gp081,I5H84_gp081,SEA_RITAG_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
