#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656569,60326913,2,I5H22_gp002,SEA_CHUCKLY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2656569,60326914,3,I5H22_gp003,SEA_CHUCKLY_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2656569,60326915,4,I5H22_gp004,SEA_CHUCKLY_4,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20201129,-
2656569,60326916,5,I5H22_gp005,SEA_CHUCKLY_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2656569,60326917,6,I5H22_gp006,SEA_CHUCKLY_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2656569,60326918,7,I5H22_gp007,SEA_CHUCKLY_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2656569,60326919,8,I5H22_gp008,SEA_CHUCKLY_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2656569,60326920,9,I5H22_gp009,SEA_CHUCKLY_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2656569,60326921,10,I5H22_gp010,SEA_CHUCKLY_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2656569,60326922,11,I5H22_gp011,SEA_CHUCKLY_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2656569,60326923,13,I5H22_gp012,SEA_CHUCKLY_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2656569,60326924,14,I5H22_gp014,SEA_CHUCKLY_14,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201203,-
2656569,60326925,12,I5H22_gp013,SEA_CHUCKLY_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2656569,60326926,15,I5H22_gp015,SEA_CHUCKLY_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656569,60326927,16,I5H22_gp016,SEA_CHUCKLY_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656569,60326928,17,I5H22_gp017,SEA_CHUCKLY_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656569,60326929,18,I5H22_gp018,SEA_CHUCKLY_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656569,60326930,19,I5H22_gp019,SEA_CHUCKLY_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2656569,60326931,20,I5H22_gp020,SEA_CHUCKLY_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656569,60326932,21,I5H22_gp021,SEA_CHUCKLY_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326933,22,I5H22_gp022,SEA_CHUCKLY_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326934,23,I5H22_gp023,SEA_CHUCKLY_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326935,24,I5H22_gp024,SEA_CHUCKLY_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326936,25,I5H22_gp025,SEA_CHUCKLY_25,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2656569,60326937,26,I5H22_gp026,SEA_CHUCKLY_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
