#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1235646,16835662,PHL037M02_02,PHL037M02_02,-,-,-,-,putative terminase,protein-coding,-,-,-,putative terminase,20201221,-
1235646,16835663,PHL037M02_03,PHL037M02_03,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1235646,16835664,PHL037M02_04,PHL037M02_04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835665,PHL037M02_05,PHL037M02_05,-,-,-,-,putative scaffold protein,protein-coding,-,-,-,putative scaffold protein,20201221,-
1235646,16835666,PHL037M02_06,PHL037M02_06,-,-,-,-,putative major head protein,protein-coding,-,-,-,putative major head protein,20201221,-
1235646,16835667,PHL037M02_07,PHL037M02_07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835668,PHL037M02_08,PHL037M02_08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835669,PHL037M02_09,PHL037M02_09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835670,PHL037M02_10,PHL037M02_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835671,PHL037M02_11,PHL037M02_11,-,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201221,-
1235646,16835672,PHL037M02_12,PHL037M02_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835673,PHL037M02_13,PHL037M02_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835674,PHL037M02_14,PHL037M02_14,-,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
1235646,16835675,PHL037M02_15,PHL037M02_15,-,-,-,-,putative minor tail subunit,protein-coding,-,-,-,putative minor tail subunit,20201221,-
1235646,16835676,PHL037M02_16,PHL037M02_16,-,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1235646,16835677,PHL037M02_17,PHL037M02_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835678,PHL037M02_18,PHL037M02_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835679,PHL037M02_19,PHL037M02_19,-,-,-,-,putative collagen-like protein,protein-coding,-,-,-,putative collagen-like protein,20201221,-
1235646,16835680,PHL037M02_20,PHL037M02_20,-,-,-,-,putative amidase,protein-coding,-,-,-,putative amidase,20201221,-
1235646,16835681,PHL037M02_21,PHL037M02_21,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1235646,16835682,PHL037M02_22,PHL037M02_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835683,PHL037M02_23,PHL037M02_23,-,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1235646,16835684,PHL037M02_24,PHL037M02_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835685,PHL037M02_25,PHL037M02_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835686,PHL037M02_26,PHL037M02_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835687,PHL037M02_27,PHL037M02_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835688,PHL037M02_28,PHL037M02_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835689,PHL037M02_29,PHL037M02_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835690,PHL037M02_30,PHL037M02_30,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1235646,16835691,PHL037M02_31,PHL037M02_31,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1235646,16835692,PHL037M02_32,PHL037M02_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
