#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1718599,26632109,AVU85_gp002,AVU85_gp002,SEA_ARCHIE_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1718599,26632110,AVU85_gp003,AVU85_gp003,SEA_ARCHIE_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632111,AVU85_gp004,AVU85_gp004,SEA_ARCHIE_4,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1718599,26632112,AVU85_gp005,AVU85_gp005,SEA_ARCHIE_5,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1718599,26632113,AVU85_gp006,AVU85_gp006,SEA_ARCHIE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632114,AVU85_gp007,AVU85_gp007,SEA_ARCHIE_7,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1718599,26632115,AVU85_gp008,AVU85_gp008,SEA_ARCHIE_8,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1718599,26632116,AVU85_gp009,AVU85_gp009,SEA_ARCHIE_9,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1718599,26632117,AVU85_gp010,AVU85_gp010,SEA_ARCHIE_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1718599,26632118,AVU85_gp011,AVU85_gp011,SEA_ARCHIE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632119,AVU85_gp012,AVU85_gp012,SEA_ARCHIE_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200927,-
1718599,26632120,AVU85_gp013,AVU85_gp013,SEA_ARCHIE_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
