#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2572526,55013786,2,HOV42_gp02,SEA_FAIRFAXIDUM_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210123,-
2572526,55013787,3,HOV42_gp03,SEA_FAIRFAXIDUM_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
2572526,55013788,4,HOV42_gp04,SEA_FAIRFAXIDUM_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210123,-
2572526,55013789,5,HOV42_gp05,SEA_FAIRFAXIDUM_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201222,-
2572526,55013790,6,HOV42_gp06,SEA_FAIRFAXIDUM_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201222,-
2572526,55013791,7,HOV42_gp07,SEA_FAIRFAXIDUM_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013792,8,HOV42_gp08,SEA_FAIRFAXIDUM_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210123,-
2572526,55013793,9,HOV42_gp09,SEA_FAIRFAXIDUM_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201222,-
2572526,55013794,10,HOV42_gp10,SEA_FAIRFAXIDUM_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013795,11,HOV42_gp11,SEA_FAIRFAXIDUM_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013796,12,HOV42_gp12,SEA_FAIRFAXIDUM_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013797,13,HOV42_gp13,SEA_FAIRFAXIDUM_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210123,-
2572526,55013798,14,HOV42_gp14,SEA_FAIRFAXIDUM_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201222,-
2572526,55013799,16,HOV42_gp15,SEA_FAIRFAXIDUM_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201222,-
2572526,55013800,17,HOV42_gp17,SEA_FAIRFAXIDUM_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210123,-
2572526,55013801,15,HOV42_gp16,SEA_FAIRFAXIDUM_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201222,-
2572526,55013802,18,HOV42_gp18,SEA_FAIRFAXIDUM_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2572526,55013803,19,HOV42_gp19,SEA_FAIRFAXIDUM_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201222,-
2572526,55013804,20,HOV42_gp20,SEA_FAIRFAXIDUM_20,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210123,-
2572526,55013805,21,HOV42_gp21,SEA_FAIRFAXIDUM_21,-,-,-,holin,protein-coding,-,-,-,holin,20210123,-
2572526,55013806,22,HOV42_gp22,SEA_FAIRFAXIDUM_22,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201222,-
2572526,55013807,23,HOV42_gp23,SEA_FAIRFAXIDUM_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013808,24,HOV42_gp24,SEA_FAIRFAXIDUM_24,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201222,-
2572526,55013809,25,HOV42_gp25,SEA_FAIRFAXIDUM_25,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210123,-
2572526,55013810,26,HOV42_gp26,SEA_FAIRFAXIDUM_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201222,-
2572526,55013811,27,HOV42_gp27,SEA_FAIRFAXIDUM_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201222,-
2572526,55013812,28,HOV42_gp28,SEA_FAIRFAXIDUM_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201222,-
2572526,55013813,29,HOV42_gp29,SEA_FAIRFAXIDUM_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013814,30,HOV42_gp30,SEA_FAIRFAXIDUM_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201222,-
2572526,55013815,31,HOV42_gp31,SEA_FAIRFAXIDUM_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201222,-
2572526,55013816,32,HOV42_gp32,SEA_FAIRFAXIDUM_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
