#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2015819,63209531,2,J4T97_gp002,SEA_GUUELAD_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210322,-
2015819,63209532,3,J4T97_gp003,SEA_GUUELAD_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209533,4,J4T97_gp004,SEA_GUUELAD_4,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210322,-
2015819,63209534,5,J4T97_gp005,SEA_GUUELAD_5,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210322,-
2015819,63209535,6,J4T97_gp006,SEA_GUUELAD_6,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210322,-
2015819,63209536,7,J4T97_gp007,SEA_GUUELAD_7,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210322,-
2015819,63209537,8,J4T97_gp008,SEA_GUUELAD_8,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210322,-
2015819,63209538,9,J4T97_gp009,SEA_GUUELAD_9,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210322,-
2015819,63209539,10,J4T97_gp010,SEA_GUUELAD_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210322,-
2015819,63209540,11,J4T97_gp011,SEA_GUUELAD_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209541,12,J4T97_gp012,SEA_GUUELAD_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210322,-
2015819,63209542,13,J4T97_gp013,SEA_GUUELAD_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210322,-
2015819,63209543,15,J4T97_gp014,SEA_GUUELAD_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210322,-
2015819,63209544,14,J4T97_gp015,SEA_GUUELAD_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210322,-
2015819,63209545,16,J4T97_gp016,SEA_GUUELAD_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210322,-
2015819,63209546,17,J4T97_gp017,SEA_GUUELAD_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210322,-
2015819,63209547,18,J4T97_gp018,SEA_GUUELAD_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210322,-
2015819,63209548,19,J4T97_gp019,SEA_GUUELAD_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210322,-
