#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1035482,26626129,2,AVU74_gp002,SEA_OSMAXIMUS_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1035482,26626130,3,AVU74_gp003,SEA_OSMAXIMUS_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626131,4,AVU74_gp004,SEA_OSMAXIMUS_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626132,5,AVU74_gp005,SEA_OSMAXIMUS_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626133,6,AVU74_gp006,SEA_OSMAXIMUS_6,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210212,-
1035482,26626134,7,AVU74_gp007,SEA_OSMAXIMUS_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626135,8,AVU74_gp008,SEA_OSMAXIMUS_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1035482,26626136,9,AVU74_gp009,SEA_OSMAXIMUS_9,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20200927,-
1035482,26626137,10,AVU74_gp010,SEA_OSMAXIMUS_10,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
1035482,26626138,11,AVU74_gp011,SEA_OSMAXIMUS_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626139,12,AVU74_gp012,SEA_OSMAXIMUS_12,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1035482,26626140,13,AVU74_gp013,SEA_OSMAXIMUS_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
