#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2590948,55621142,2,HWC57_gp02,SEA_ARAXXI_2,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210424,-
2590948,55621143,3,HWC57_gp03,SEA_ARAXXI_3,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201217,-
2590948,55621144,4,HWC57_gp04,SEA_ARAXXI_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621145,5,HWC57_gp05,SEA_ARAXXI_5,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201217,-
2590948,55621146,6,HWC57_gp06,SEA_ARAXXI_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621147,7,HWC57_gp07,SEA_ARAXXI_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621148,8,HWC57_gp08,SEA_ARAXXI_8,-,-,-,ribbon-helix-helix DNA binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding domain protein,20200620,-
2590948,55621149,9,HWC57_gp09,SEA_ARAXXI_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621150,10,HWC57_gp10,SEA_ARAXXI_10,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
2590948,55621151,11,HWC57_gp11,SEA_ARAXXI_11,-,-,-,RecB-like exonuclease/helicase,protein-coding,-,-,-,RecB-like exonuclease/helicase,20210424,-
2590948,55621152,12,HWC57_gp12,SEA_ARAXXI_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621153,13,HWC57_gp13,SEA_ARAXXI_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621154,14,HWC57_gp14,SEA_ARAXXI_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2590948,55621155,15,HWC57_gp15,SEA_ARAXXI_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621156,16,HWC57_gp16,SEA_ARAXXI_16,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210424,-
2590948,55621157,17,HWC57_gp17,SEA_ARAXXI_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621158,18,HWC57_gp18,SEA_ARAXXI_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621159,19,HWC57_gp19,SEA_ARAXXI_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621160,20,HWC57_gp20,SEA_ARAXXI_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621161,21,HWC57_gp21,SEA_ARAXXI_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621162,22,HWC57_gp22,SEA_ARAXXI_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621163,23,HWC57_gp23,SEA_ARAXXI_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621164,24,HWC57_gp24,SEA_ARAXXI_24,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2590948,55621165,25,HWC57_gp25,SEA_ARAXXI_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621166,26,HWC57_gp26,SEA_ARAXXI_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621167,27,HWC57_gp27,SEA_ARAXXI_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621168,28,HWC57_gp28,SEA_ARAXXI_28,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200620,-
2590948,55621169,29,HWC57_gp29,SEA_ARAXXI_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621170,30,HWC57_gp30,SEA_ARAXXI_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621171,31,HWC57_gp31,SEA_ARAXXI_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621172,32,HWC57_gp32,SEA_ARAXXI_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621173,33,HWC57_gp33,SEA_ARAXXI_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2590948,55621174,34,HWC57_gp34,SEA_ARAXXI_34,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201217,-
2590948,55621175,35,HWC57_gp35,SEA_ARAXXI_35,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2590948,55621176,36,HWC57_gp36,SEA_ARAXXI_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621177,37,HWC57_gp37,SEA_ARAXXI_37,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2590948,55621178,38,HWC57_gp38,SEA_ARAXXI_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621179,39,HWC57_gp39,SEA_ARAXXI_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621180,40,HWC57_gp40,SEA_ARAXXI_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621181,41,HWC57_gp41,SEA_ARAXXI_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621182,42,HWC57_gp42,SEA_ARAXXI_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621183,43,HWC57_gp43,SEA_ARAXXI_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621184,44,HWC57_gp44,SEA_ARAXXI_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621185,45,HWC57_gp45,SEA_ARAXXI_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621186,46,HWC57_gp46,SEA_ARAXXI_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621187,47,HWC57_gp47,SEA_ARAXXI_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621188,48,HWC57_gp48,SEA_ARAXXI_48,-,-,-,terminase,protein-coding,-,-,-,terminase,20200620,-
2590948,55621189,49,HWC57_gp49,SEA_ARAXXI_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621190,50,HWC57_gp50,SEA_ARAXXI_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55621191,1,HWC57_gp01,SEA_ARAXXI_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590948,55635994,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
