#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500801,24725063,ACQ82_gp02,ACQ82_gp02,PHL041M10_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500801,24725064,ACQ82_gp03,ACQ82_gp03,PHL041M10_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500801,24725065,ACQ82_gp04,ACQ82_gp04,PHL041M10_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500801,24725066,ACQ82_gp05,ACQ82_gp05,PHL041M10_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500801,24725067,ACQ82_gp06,ACQ82_gp06,PHL041M10_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500801,24725068,ACQ82_gp07,ACQ82_gp07,PHL041M10_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500801,24725069,ACQ82_gp08,ACQ82_gp08,PHL041M10_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500801,24725070,ACQ82_gp09,ACQ82_gp09,PHL041M10_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500801,24725071,ACQ82_gp10,ACQ82_gp10,PHL041M10_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500801,24725072,ACQ82_gp11,ACQ82_gp11,PHL041M10_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500801,24725073,ACQ82_gp12,ACQ82_gp12,PHL041M10_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500801,24725074,ACQ82_gp13,ACQ82_gp13,PHL041M10_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500801,24725075,ACQ82_gp14,ACQ82_gp14,PHL041M10_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500801,24725076,ACQ82_gp15,ACQ82_gp15,PHL041M10_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
