#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1229786,13827033,2,D288_gp02,P101A_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1229786,13827034,3,D288_gp03,P101A_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1229786,13827035,4,D288_gp04,P101A_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827036,5,D288_gp05,P101A_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1229786,13827037,6,D288_gp06,P101A_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1229786,13827038,7,D288_gp07,P101A_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1229786,13827039,8,D288_gp08,P101A_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827040,9,D288_gp09,P101A_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827041,10,D288_gp10,P101A_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827042,11,D288_gp11,P101A_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1229786,13827043,13,D288_gp12,P101A_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229786,13827044,14,D288_gp14,P101A_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1229786,13827045,12,D288_gp13,P101A_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229786,13827046,15,D288_gp15,P101A_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229786,13827047,16,D288_gp16,P101A_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229786,13827048,17,D288_gp17,P101A_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229786,13827049,18,D288_gp18,P101A_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827050,19,D288_gp19,P101A_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229786,13827051,20,D288_gp20,P101A_20,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200927,-
1229786,13827052,21,D288_gp21,P101A_21,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1229786,13827053,22,D288_gp22,P101A_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827054,23,D288_gp23,P101A_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827055,24,D288_gp24,P101A_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827056,25,D288_gp25,P101A_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827057,26,D288_gp26,P101A_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827058,27,D288_gp27,P101A_27,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1229786,13827059,28,D288_gp28,P101A_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827060,29,D288_gp29,P101A_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827061,30,D288_gp30,P101A_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827062,31,D288_gp31,P101A_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827063,33,D288_gp33,P101A_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827064,34,D288_gp34,P101A_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827065,35,D288_gp35,P101A_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827066,36,D288_gp36,P101A_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827067,37,D288_gp37,P101A_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827068,38,D288_gp38,P101A_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827069,39,D288_gp39,P101A_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827070,40,D288_gp40,P101A_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827071,41,D288_gp41,P101A_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827072,42,D288_gp42,P101A_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827073,43,D288_gp43,P101A_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827074,44,D288_gp44,P101A_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827075,46,D288_gp46,P101A_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827076,32,D288_gp32,P101A_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827077,45,D288_gp45,P101A_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827078,47,D288_gp47,P101A_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229786,13827079,1,D288_gp01,P101A_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1229786,13839489,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Propionibacterium acnes phage P101A).,other,-,-,-,-,20200513,-
