#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1042123,14011468,F391_gp02,F391_gp02,phi34O_gp2,-,-,-,phage terminase large subunit,protein-coding,-,-,-,phage terminase large subunit,20201220,-
1042123,14011469,F391_gp03,F391_gp03,phi34O_gp3,-,-,-,protein of unknown function DUF3310,protein-coding,-,-,-,protein of unknown function DUF3310,20201220,-
1042123,14011470,F391_gp04,F391_gp04,phi34O_gp4,-,-,-,phage portal protein SPP1,protein-coding,-,-,-,phage portal protein SPP1,20201220,-
1042123,14011471,F391_gp05,F391_gp05,phi34O_gp5,-,-,-,protein of unknown function DUF646,protein-coding,-,-,-,protein of unknown function DUF646,20201220,-
1042123,14011472,F391_gp06,F391_gp06,phi34O_gp6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011473,F391_gp07,F391_gp07,phi34O_gp7,-,-,-,3''-phosphoadenosine 5''-phosphosulfate sulfotransferase/FAD synthetase-related enzyme,protein-coding,-,-,-,3''-phosphoadenosine 5''-phosphosulfate sulfotransferase/FAD synthetase-related enzyme,20201220,-
1042123,14011474,F391_gp08,F391_gp08,phi34O_gp8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011475,F391_gp09,F391_gp09,phi34O_gp9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011476,F391_gp10,F391_gp10,phi34O_gp10,-,-,-,predicted P-loop ATPase,protein-coding,-,-,-,predicted P-loop ATPase,20201220,-
1042123,14011477,F391_gp11,F391_gp11,phi34O_gp11,-,-,-,phage minor structural protein GP20,protein-coding,-,-,-,phage minor structural protein GP20,20201220,-
1042123,14011478,F391_gp12,F391_gp12,phi34O_gp12,-,-,-,P22 coat protein,protein-coding,-,-,-,P22 coat protein,20201220,-
1042123,14011479,F391_gp13,F391_gp13,phi34O_gp13,-,-,-,lysophospholipase L1-related esterase,protein-coding,-,-,-,lysophospholipase L1-related esterase,20201220,-
1042123,14011480,F391_gp14,F391_gp14,phi34O_gp14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011481,F391_gp15,F391_gp15,phi34O_gp15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011482,F391_gp16,F391_gp16,phi34O_gp16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011483,F391_gp17,F391_gp17,phi34O_gp17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011484,F391_gp18,F391_gp18,phi34O_gp18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011485,F391_gp19,F391_gp19,phi34O_gp19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011486,F391_gp20,F391_gp20,phi34O_gp20,-,-,-,phage-related minor tail protein,protein-coding,-,-,-,phage-related minor tail protein,20201220,-
1042123,14011487,F391_gp21,F391_gp21,phi34O_gp21,-,-,-,phage-related minor tail protein,protein-coding,-,-,-,phage-related minor tail protein,20201220,-
1042123,14011488,F391_gp22,F391_gp22,phi34O_gp22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011489,F391_gp23,F391_gp23,phi34O_gp23,-,-,-,putative phage tail component,protein-coding,-,-,-,putative phage tail component,20201220,-
1042123,14011490,F391_gp24,F391_gp24,phi34O_gp24,-,-,-,predicted hydrolase,protein-coding,-,-,-,predicted hydrolase,20201220,-
1042123,14011491,F391_gp25,F391_gp25,phi34O_gp25,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20201220,-
1042123,14011492,F391_gp26,F391_gp26,phi34O_gp26,-,-,-,small integral membrane protein,protein-coding,-,-,-,small integral membrane protein,20201220,-
1042123,14011493,F391_gp27,F391_gp27,phi34O_gp27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011494,F391_gp28,F391_gp28,phi34O_gp28,-,-,-,phage anti-repressor protein,protein-coding,-,-,-,phage anti-repressor protein,20201220,-
1042123,14011495,F391_gp29,F391_gp29,phi34O_gp29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011496,F391_gp30,F391_gp30,phi34O_gp30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011497,F391_gp31,F391_gp31,phi34O_gp31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011498,F391_gp32,F391_gp32,phi34O_gp32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011499,F391_gp33,F391_gp33,phi34O_gp33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011500,F391_gp34,F391_gp34,phi34O_gp34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011501,F391_gp35,F391_gp35,phi34O_gp35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011502,F391_gp36,F391_gp36,phi34O_gp36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011503,F391_gp37,F391_gp37,phi34O_gp37,-,-,-,uncharacterized phage-encoded protein,protein-coding,-,-,-,uncharacterized phage-encoded protein,20201220,-
1042123,14011504,F391_gp38,F391_gp38,phi34O_gp38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011505,F391_gp39,F391_gp39,phi34O_gp39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011506,F391_gp40,F391_gp40,phi34O_gp40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011507,F391_gp41,F391_gp41,phi34O_gp41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011508,F391_gp42,F391_gp42,phi34O_gp42,-,-,-,ERF superfamily protein,protein-coding,-,-,-,ERF superfamily protein,20201220,-
1042123,14011509,F391_gp43,F391_gp43,phi34O_gp43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011510,F391_gp44,F391_gp44,phi34O_gp44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042123,14011511,F391_gp45,F391_gp45,phi34O_gp45,-,-,-,predicted alternative thymidylate synthase,protein-coding,-,-,-,predicted alternative thymidylate synthase,20201220,-
1042123,14011512,F391_gp46,F391_gp46,phi34O_gp46,-,-,-,single-strand binding protein,protein-coding,-,-,-,single-strand binding protein,20201220,-
