#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2500799,65118602,2,KNU44_gp002,SEA_CICHOLASNAGE_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2500799,65118603,3,KNU44_gp003,SEA_CICHOLASNAGE_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118604,4,KNU44_gp004,SEA_CICHOLASNAGE_4,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2500799,65118605,5,KNU44_gp005,SEA_CICHOLASNAGE_5,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2500799,65118606,6,KNU44_gp006,SEA_CICHOLASNAGE_6,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210607,-
2500799,65118607,7,KNU44_gp007,SEA_CICHOLASNAGE_7,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210607,-
2500799,65118608,8,KNU44_gp008,SEA_CICHOLASNAGE_8,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2500799,65118609,9,KNU44_gp009,SEA_CICHOLASNAGE_9,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210607,-
2500799,65118610,10,KNU44_gp010,SEA_CICHOLASNAGE_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210607,-
2500799,65118611,11,KNU44_gp011,SEA_CICHOLASNAGE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118612,12,KNU44_gp012,SEA_CICHOLASNAGE_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210607,-
2500799,65118613,13,KNU44_gp013,SEA_CICHOLASNAGE_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
2500799,65118614,15,KNU44_gp014,SEA_CICHOLASNAGE_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210607,-
