#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2041525,60327324,I5H26_gp002,I5H26_gp002,SEA_DAWORST_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2041525,60327325,I5H26_gp003,I5H26_gp003,SEA_DAWORST_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201129,-
2041525,60327326,I5H26_gp004,I5H26_gp004,SEA_DAWORST_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210406,-
2041525,60327327,I5H26_gp005,I5H26_gp005,SEA_DAWORST_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2041525,60327328,I5H26_gp006,I5H26_gp006,SEA_DAWORST_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2041525,60327329,I5H26_gp007,I5H26_gp007,SEA_DAWORST_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2041525,60327330,I5H26_gp008,I5H26_gp008,SEA_DAWORST_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2041525,60327331,I5H26_gp009,I5H26_gp009,SEA_DAWORST_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2041525,60327332,I5H26_gp010,I5H26_gp010,SEA_DAWORST_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2041525,60327333,I5H26_gp011,I5H26_gp011,SEA_DAWORST_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2041525,60327334,I5H26_gp012,I5H26_gp012,SEA_DAWORST_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2041525,60327335,I5H26_gp013,I5H26_gp013,SEA_DAWORST_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2041525,60327336,I5H26_gp015,I5H26_gp015,SEA_DAWORST_15,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2041525,60327337,I5H26_gp014,I5H26_gp014,SEA_DAWORST_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
