#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
117198,2830069,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200506,-
117198,5859850,BC1,RhyGMV_sBgp02,-,-,-,-,movement protein,protein-coding,-,-,-,movement protein,20180405,-
117198,5859851,BV1,RhyGMV_sBgp01,-,-,-,-,nuclear shuttle protein,protein-coding,-,-,-,nuclear shuttle protein,20180405,-
117198,5859852,AL4,RhyGMV_gp05,-,-,-,-,AC4,protein-coding,-,-,-,AC4,20180405,-
117198,5859853,AL3,RhyGMV_sAgp02,-,-,-,-,replication enhancer protein,protein-coding,-,-,-,replication enhancer protein,20180405,-
117198,5859854,AL2,RhyGMV_sAgp03,-,-,-,-,TrAP,protein-coding,-,-,-,TrAP,20180405,-
117198,5859855,AL1,RhyGMV_gp04,-,-,-,-,replication initiation protein,protein-coding,-,-,-,replication initiation protein,20180405,-
117198,5859856,AR1,RhyGMV_sAgp01,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20180421,-
117198,36335707,BC1,DA399_sBgp2,-,-,-,-,movement protein,protein-coding,-,-,-,movement protein,20180421,-
117198,36335708,BV1,DA399_sBgp1,-,-,-,-,BV1 protein,protein-coding,-,-,-,BV1 protein,20180421,-
117198,36335710,AL2,DA399_sAgp3,-,-,-,-,transactivation protein,protein-coding,-,-,-,transactivation protein,20180421,-
117198,36335711,AL4,DA399_sAgp5,-,-,-,-,AL4,protein-coding,-,-,-,AL4,20180421,-
117198,36335712,AL1,DA399_sAgp4,-,-,-,-,replication initiation protein,protein-coding,-,-,-,replication initiation protein,20180421,-
117198,36335713,AL3,DA399_sAgp2,-,-,-,-,replication enhancer protein,protein-coding,-,-,-,replication enhancer protein,20180421,-
117198,36335714,AR1,DA399_sAgp1,-,-,-,-,coat protein,protein-coding,-,-,-,coat protein,20180421,-
