#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1493514,24171180,AAJ61_gp002,AAJ61_gp002,Syn7803US103_2,-,-,-,base plate wedge component,protein-coding,-,-,-,base plate wedge component,20201221,-
1493514,24171181,AAJ61_gp003,AAJ61_gp003,Syn7803US103_3,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20201221,-
1493514,24171182,AAJ61_gp004,AAJ61_gp004,Syn7803US103_4,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20201221,-
1493514,24171183,AAJ61_gp005,AAJ61_gp005,Syn7803US103_5,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20201221,-
1493514,24171184,AAJ61_gp006,AAJ61_gp006,Syn7803US103_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171185,AAJ61_gp007,AAJ61_gp007,Syn7803US103_7,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20201221,-
1493514,24171186,AAJ61_gp008,AAJ61_gp008,Syn7803US103_8,-,-,-,late control gene D protein,protein-coding,-,-,-,late control gene D protein,20201221,-
1493514,24171187,AAJ61_gp009,AAJ61_gp009,Syn7803US103_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171188,AAJ61_gp010,AAJ61_gp010,Syn7803US103_10,-,-,-,CP12 protein,protein-coding,-,-,-,CP12 protein,20201221,-
1493514,24171189,AAJ61_gp011,AAJ61_gp011,Syn7803US103_11,-,-,-,putative base plate hub subunit and tail lysozyme,protein-coding,-,-,-,putative base plate hub subunit and tail lysozyme,20201221,-
1493514,24171190,AAJ61_gp012,AAJ61_gp012,Syn7803US103_12,-,-,-,putative base plate lysozyme,protein-coding,-,-,-,putative base plate lysozyme,20201221,-
1493514,24171191,AAJ61_gp013,AAJ61_gp013,Syn7803US103_13,-,-,-,DUF680 domain-containing protein,protein-coding,-,-,-,DUF680 domain-containing protein,20201221,-
1493514,24171192,AAJ61_gp014,AAJ61_gp014,Syn7803US103_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171193,AAJ61_gp015,AAJ61_gp015,Syn7803US103_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171194,AAJ61_gp016,AAJ61_gp016,Syn7803US103_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171195,AAJ61_gp017,AAJ61_gp017,Syn7803US103_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
