#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1109713,11537941,terL,RoPhREQ2_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1109713,11541258,RoPhREQ2_gp13,RoPhREQ2_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541259,RoPhREQ2_gp12,RoPhREQ2_gp12,-,-,-,-,main tail protein,protein-coding,-,-,-,main tail protein,20201221,-
1109713,11541260,RoPhREQ2_gp14,RoPhREQ2_gp14,-,-,-,-,alpha/beta hydrolase,protein-coding,-,-,-,alpha/beta hydrolase,20201221,-
1109713,11541261,RoPhREQ2_gp15,RoPhREQ2_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541262,RoPhREQ2_gp16,RoPhREQ2_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541263,RoPhREQ2_gp17,RoPhREQ2_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541264,RoPhREQ2_gp18,RoPhREQ2_gp18,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1109713,11541265,RoPhREQ2_gp19,RoPhREQ2_gp19,-,-,-,-,phage tail protein,protein-coding,-,-,-,phage tail protein,20201221,-
1109713,11541266,RoPhREQ2_gp20,RoPhREQ2_gp20,-,-,-,-,phage tail protein,protein-coding,-,-,-,phage tail protein,20201221,-
1109713,11541267,RoPhREQ2_gp21,RoPhREQ2_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541268,RoPhREQ2_gp22,RoPhREQ2_gp22,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20201221,-
1109713,11541269,RoPhREQ2_gp23,RoPhREQ2_gp23,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1109713,11541270,RoPhREQ2_gp24,RoPhREQ2_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541271,RoPhREQ2_gp25,RoPhREQ2_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541272,RoPhREQ2_gp26,RoPhREQ2_gp26,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1109713,11541273,RoPhREQ2_gp27,RoPhREQ2_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541274,RoPhREQ2_gp28,RoPhREQ2_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541275,RoPhREQ2_gp29,RoPhREQ2_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541276,RoPhREQ2_gp30,RoPhREQ2_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541277,RoPhREQ2_gp31,RoPhREQ2_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541278,RoPhREQ2_gp32,RoPhREQ2_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541279,RoPhREQ2_gp33,RoPhREQ2_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541280,RoPhREQ2_gp34,RoPhREQ2_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541281,RoPhREQ2_gp35,RoPhREQ2_gp35,-,-,-,-,DUF2637 domain-containing protein,protein-coding,-,-,-,DUF2637 domain-containing protein,20201221,-
1109713,11541282,RoPhREQ2_gp36,RoPhREQ2_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541283,RoPhREQ2_gp37,RoPhREQ2_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109713,11541284,RoPhREQ2_gp38,RoPhREQ2_gp38,-,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20201221,-
