#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1173135,13165291,efb11,EnPhBC-611_gp54,-,-,-,-,phage portal protein,protein-coding,-,-,-,phage portal protein,20200909,-
1173135,13165292,efb20,EnPhBC-611_gp45,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200909,-
1173135,13165293,efb21,EnPhBC-611_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165294,efb22,EnPhBC-611_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165295,efb23,EnPhBC-611_gp42,-,-,-,-,phage tail tape measure protein,protein-coding,-,-,-,phage tail tape measure protein,20200909,-
1173135,13165296,efb24,EnPhBC-611_gp41,-,-,-,-,phage tail fiber protein,protein-coding,-,-,-,phage tail fiber protein,20200909,-
1173135,13165297,efb25,EnPhBC-611_gp40,-,-,-,-,phage minor structural protein,protein-coding,-,-,-,phage minor structural protein,20200909,-
1173135,13165298,efb26,EnPhBC-611_gp39,-,-,-,-,CHAP domain protein,protein-coding,-,-,-,CHAP domain protein,20200909,-
1173135,13165299,efb27,EnPhBC-611_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165300,efb28,EnPhBC-611_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165301,efb12,EnPhBC-611_gp53,-,-,-,-,phage head morphogenesis protein,protein-coding,-,-,-,phage head morphogenesis protein,20200909,-
1173135,13165302,efb29,EnPhBC-611_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165303,efb30,EnPhBC-611_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165304,efb31,EnPhBC-611_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165305,efb32,EnPhBC-611_gp32,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200909,-
1173135,13165306,efb33,EnPhBC-611_gp31,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200909,-
1173135,13165307,efb34,EnPhBC-611_gp30,-,-,-,-,DNA replication protein,protein-coding,-,-,-,DNA replication protein,20210313,-
1173135,13165308,efb35,EnPhBC-611_gp29,-,-,-,-,putative HNH homing endonuclease,protein-coding,-,-,-,putative HNH homing endonuclease,20200909,-
1173135,13165309,efb36,EnPhBC-611_gp28,-,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20200909,-
1173135,13165310,efb37,EnPhBC-611_gp27,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200909,-
1173135,13165311,efb38,EnPhBC-611_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165312,efb13,EnPhBC-611_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165313,efb39,EnPhBC-611_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165314,efb40,EnPhBC-611_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165315,efb41,EnPhBC-611_gp22,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20200909,-
1173135,13165316,efb42,EnPhBC-611_gp21,-,-,-,-,putative adenylate kinase,protein-coding,-,-,-,putative adenylate kinase,20200909,-
1173135,13165317,efb43,EnPhBC-611_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165318,efb44,EnPhBC-611_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165319,efb45,EnPhBC-611_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165320,efb46,EnPhBC-611_gp17,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200909,-
1173135,13165321,efb47,EnPhBC-611_gp16,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20200909,-
1173135,13165322,efb48,EnPhBC-611_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165323,efb14,EnPhBC-611_gp51,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20200909,-
1173135,13165324,efb49,EnPhBC-611_gp14,-,-,-,-,cytidine deaminase,protein-coding,-,-,-,cytidine deaminase,20200909,-
1173135,13165325,efb50,EnPhBC-611_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165326,efb51,EnPhBC-611_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165327,efb52,EnPhBC-611_gp10,-,-,-,-,nucleoside triphosphate pyrophosphohydrolase,protein-coding,-,-,-,nucleoside triphosphate pyrophosphohydrolase,20200909,-
1173135,13165328,efb53,EnPhBC-611_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165329,efb54,EnPhBC-611_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165330,efb55,EnPhBC-611_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165331,efb56,EnPhBC-611_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165332,efb57h,EnPhBC-611_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165333,efb15,EnPhBC-611_gp50,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200909,-
1173135,13165334,efb16,EnPhBC-611_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165335,efb17,EnPhBC-611_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165336,efb18,EnPhBC-611_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165337,efb19,EnPhBC-611_gp46,-,-,-,-,phage tail protein,protein-coding,-,-,-,phage tail protein,20200909,-
1173135,13165340,efb3,EnPhBC-611_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165341,efb4,EnPhBC-611_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165342,efb5,EnPhBC-611_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165343,efb6,EnPhBC-611_gp04,-,-,-,-,phage terminase small subunit,protein-coding,-,-,-,phage terminase small subunit,20210313,-
1173135,13165344,efb7,EnPhBC-611_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,13165345,efb8,EnPhBC-611_gp02,-,-,-,-,N-terminus of phage terminase large subunit,protein-coding,-,-,-,N-terminus of phage terminase large subunit,20200909,-
1173135,13165346,efb9,EnPhBC-611_gp01,-,-,-,-,putative SegB homing endonuclease,protein-coding,-,-,-,putative SegB homing endonuclease,20200909,-
1173135,13165347,efb10,EnPhBC-611_gp55,-,-,-,-,C-terminus of phage terminase large subunit,protein-coding,-,-,-,C-terminus of phage terminase large subunit,20200909,-
1173135,13229213,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterococcus phage BC-611).,other,-,-,-,-,20200513,-
1173135,14517099,EnPhBC-611_gp80,EnPhBC-611_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517100,EnPhBC-611_gp79,EnPhBC-611_gp79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517101,EnPhBC-611_gp78,EnPhBC-611_gp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517102,EnPhBC-611_gp76,EnPhBC-611_gp76,-,-,-,-,host recBCD nuclease inhibitor,protein-coding,-,-,-,host recBCD nuclease inhibitor,20200909,-
1173135,14517103,EnPhBC-611_gp74,EnPhBC-611_gp74,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200909,-
1173135,14517104,EnPhBC-611_gp83,EnPhBC-611_gp83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517105,EnPhBC-611_gp72,EnPhBC-611_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517106,EnPhBC-611_gp67,EnPhBC-611_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517107,EnPhBC-611_gp66,EnPhBC-611_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517108,EnPhBC-611_gp82,EnPhBC-611_gp82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517109,EnPhBC-611_gp65,EnPhBC-611_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517110,EnPhBC-611_gp60,EnPhBC-611_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517111,EnPhBC-611_gp59,EnPhBC-611_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517112,EnPhBC-611_gp57,EnPhBC-611_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517113,EnPhBC-611_gp81,EnPhBC-611_gp81,-,-,-,-,Holin,protein-coding,-,-,-,Holin,20200909,-
1173135,14517114,EnPhBC-611_gp77,EnPhBC-611_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517115,EnPhBC-611_gp86,EnPhBC-611_gp86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517116,EnPhBC-611_gp85,EnPhBC-611_gp85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517117,EnPhBC-611_gp84,EnPhBC-611_gp84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517118,EnPhBC-611_gt01,EnPhBC-611_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1173135,14517119,EnPhBC-611_gp75,EnPhBC-611_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517120,EnPhBC-611_gp73,EnPhBC-611_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517121,EnPhBC-611_gp71,EnPhBC-611_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517122,EnPhBC-611_gp70,EnPhBC-611_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517123,EnPhBC-611_gp69,EnPhBC-611_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517124,EnPhBC-611_gp68,EnPhBC-611_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517125,EnPhBC-611_gp64,EnPhBC-611_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517126,EnPhBC-611_gp63,EnPhBC-611_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517127,EnPhBC-611_gp62,EnPhBC-611_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517128,EnPhBC-611_gp61,EnPhBC-611_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517129,EnPhBC-611_gp58,EnPhBC-611_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517130,EnPhBC-611_gp56,EnPhBC-611_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173135,14517131,EnPhBC-611_gp87,EnPhBC-611_gp87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
