#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2743906,63910960,2,KDJ03_gp02,SEA_MAMAPEARL_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210515,-
2743906,63910961,3,KDJ03_gp03,SEA_MAMAPEARL_3,-,-,-,portal and MuF-like fusion protein,protein-coding,-,-,-,portal and MuF-like fusion protein,20210515,-
2743906,63910962,4,KDJ03_gp04,SEA_MAMAPEARL_4,-,-,-,capsid maturation protein,protein-coding,-,-,-,capsid maturation protein,20210515,-
2743906,63910963,5,KDJ03_gp05,SEA_MAMAPEARL_5,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210515,-
2743906,63910964,6,KDJ03_gp06,SEA_MAMAPEARL_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63910965,7,KDJ03_gp07,SEA_MAMAPEARL_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210420,-
2743906,63910966,8,KDJ03_gp08,SEA_MAMAPEARL_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210420,-
2743906,63910967,9,KDJ03_gp09,SEA_MAMAPEARL_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2743906,63910968,10,KDJ03_gp10,SEA_MAMAPEARL_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210420,-
2743906,63910969,11,KDJ03_gp11,SEA_MAMAPEARL_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210420,-
2743906,63910970,13,KDJ03_gp12,SEA_MAMAPEARL_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210515,-
2743906,63910971,14,KDJ03_gp14,SEA_MAMAPEARL_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210515,-
