#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301694,54999245,2,HOT94_gp002,SEA_PHISTORY_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
2301694,54999246,3,HOT94_gp003,SEA_PHISTORY_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2301694,54999247,4,HOT94_gp004,SEA_PHISTORY_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2301694,54999248,5,HOT94_gp005,SEA_PHISTORY_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
2301694,54999249,6,HOT94_gp006,SEA_PHISTORY_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
2301694,54999250,7,HOT94_gp007,SEA_PHISTORY_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2301694,54999251,8,HOT94_gp008,SEA_PHISTORY_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999252,9,HOT94_gp009,SEA_PHISTORY_9,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
2301694,54999253,10,HOT94_gp010,SEA_PHISTORY_10,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
2301694,54999254,11,HOT94_gp011,SEA_PHISTORY_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999255,12,HOT94_gp012,SEA_PHISTORY_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999256,13,HOT94_gp013,SEA_PHISTORY_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2301694,54999257,14,HOT94_gp014,SEA_PHISTORY_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999258,16,HOT94_gp015,SEA_PHISTORY_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210403,-
2301694,54999259,17,HOT94_gp017,SEA_PHISTORY_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999260,15,HOT94_gp016,SEA_PHISTORY_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2301694,54999261,18,HOT94_gp018,SEA_PHISTORY_18,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210403,-
2301694,54999262,19,HOT94_gp019,SEA_PHISTORY_19,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2301694,54999263,20,HOT94_gp020,SEA_PHISTORY_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2301694,54999264,21,HOT94_gp021,SEA_PHISTORY_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2301694,54999265,22,HOT94_gp022,SEA_PHISTORY_22,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2301694,54999266,23,HOT94_gp023,SEA_PHISTORY_23,-,-,-,"lysin A, peptidase domain",protein-coding,-,-,-,"lysin A, peptidase domain",20210403,-
2301694,54999267,24,HOT94_gp024,SEA_PHISTORY_24,-,-,-,"lysin A, glycosyl hydrolase domain",protein-coding,-,-,-,"lysin A, glycosyl hydrolase domain",20210403,-
2301694,54999268,25,HOT94_gp025,SEA_PHISTORY_25,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2301694,54999269,26,HOT94_gp026,SEA_PHISTORY_26,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2301694,54999270,27,HOT94_gp027,SEA_PHISTORY_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999271,28,HOT94_gp028,SEA_PHISTORY_28,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2301694,54999272,29,HOT94_gp029,SEA_PHISTORY_29,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210403,-
2301694,54999273,30,HOT94_gp030,SEA_PHISTORY_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2301694,54999274,31,HOT94_gp031,SEA_PHISTORY_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999275,32,HOT94_gp032,SEA_PHISTORY_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301694,54999276,33,HOT94_gp033,SEA_PHISTORY_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2301694,54999277,34,HOT94_gp034,SEA_PHISTORY_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2301694,54999278,35,HOT94_gp035,SEA_PHISTORY_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2301694,54999279,36,HOT94_gp036,SEA_PHISTORY_36,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
