#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2079284,60332244,I5H73_gp002,I5H73_gp002,SEA_OLDBEN_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2079284,60332245,I5H73_gp003,I5H73_gp003,SEA_OLDBEN_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2079284,60332246,I5H73_gp004,I5H73_gp004,SEA_OLDBEN_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2079284,60332247,I5H73_gp005,I5H73_gp005,SEA_OLDBEN_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2079284,60332248,I5H73_gp006,I5H73_gp006,SEA_OLDBEN_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2079284,60332249,I5H73_gp007,I5H73_gp007,SEA_OLDBEN_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2079284,60332250,I5H73_gp008,I5H73_gp008,SEA_OLDBEN_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2079284,60332251,I5H73_gp009,I5H73_gp009,SEA_OLDBEN_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079284,60332252,I5H73_gp010,I5H73_gp010,SEA_OLDBEN_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2079284,60332253,I5H73_gp011,I5H73_gp011,SEA_OLDBEN_11,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201129,-
2079284,60332254,I5H73_gp012,I5H73_gp012,SEA_OLDBEN_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2079284,60332255,I5H73_gp014,I5H73_gp014,SEA_OLDBEN_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2079284,60332256,I5H73_gp013,I5H73_gp013,SEA_OLDBEN_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2079284,60332257,I5H73_gp015,I5H73_gp015,SEA_OLDBEN_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2079284,60332258,I5H73_gp016,I5H73_gp016,SEA_OLDBEN_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2079284,60332259,I5H73_gp017,I5H73_gp017,SEA_OLDBEN_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2079284,60332260,I5H73_gp018,I5H73_gp018,SEA_OLDBEN_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2079284,60332261,I5H73_gp019,I5H73_gp019,SEA_OLDBEN_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2079284,60332262,I5H73_gp020,I5H73_gp020,SEA_OLDBEN_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2079284,60332263,I5H73_gp021,I5H73_gp021,SEA_OLDBEN_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2079284,60332264,I5H73_gp022,I5H73_gp022,SEA_OLDBEN_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2079284,60332265,I5H73_gp023,I5H73_gp023,SEA_OLDBEN_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2079284,60332266,I5H73_gp024,I5H73_gp024,SEA_OLDBEN_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2079284,60332267,I5H73_gp025,I5H73_gp025,SEA_OLDBEN_25,-,-,-,HTH DNA-binding domain protein,protein-coding,-,-,-,HTH DNA-binding domain protein,20201203,-
2079284,60332268,I5H73_gp026,I5H73_gp026,SEA_OLDBEN_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332269,I5H73_gp027,I5H73_gp027,SEA_OLDBEN_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332270,I5H73_gp028,I5H73_gp028,SEA_OLDBEN_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332271,I5H73_gp029,I5H73_gp029,SEA_OLDBEN_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332272,I5H73_gp030,I5H73_gp030,SEA_OLDBEN_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2079284,60332273,I5H73_gp031,I5H73_gp031,SEA_OLDBEN_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2079284,60332274,I5H73_gp032,I5H73_gp032,SEA_OLDBEN_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2079284,60332275,I5H73_gp033,I5H73_gp033,SEA_OLDBEN_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
2079284,60332276,I5H73_gp034,I5H73_gp034,SEA_OLDBEN_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332277,I5H73_gp035,I5H73_gp035,SEA_OLDBEN_35,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210129,-
2079284,60332278,I5H73_gp036,I5H73_gp036,SEA_OLDBEN_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332279,I5H73_gp037,I5H73_gp037,SEA_OLDBEN_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332280,I5H73_gp038,I5H73_gp038,SEA_OLDBEN_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332281,I5H73_gp039,I5H73_gp039,SEA_OLDBEN_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332282,I5H73_gp040,I5H73_gp040,SEA_OLDBEN_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2079284,60332283,I5H73_gp041,I5H73_gp041,SEA_OLDBEN_41,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2079284,60332284,I5H73_gp042,I5H73_gp042,SEA_OLDBEN_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332285,I5H73_gp043,I5H73_gp043,SEA_OLDBEN_43,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2079284,60332286,I5H73_gp044,I5H73_gp044,SEA_OLDBEN_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2079284,60332287,I5H73_gp045,I5H73_gp045,SEA_OLDBEN_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332288,I5H73_gp046,I5H73_gp046,SEA_OLDBEN_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079284,60332289,I5H73_gp047,I5H73_gp047,SEA_OLDBEN_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332290,I5H73_gp048,I5H73_gp048,SEA_OLDBEN_48,-,-,-,HTH protein,protein-coding,-,-,-,HTH protein,20210424,-
2079284,60332291,I5H73_gp049,I5H73_gp049,SEA_OLDBEN_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2079284,60332292,I5H73_gp050,I5H73_gp050,SEA_OLDBEN_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332293,I5H73_gp051,I5H73_gp051,SEA_OLDBEN_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332294,I5H73_gp052,I5H73_gp052,SEA_OLDBEN_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332295,I5H73_gp053,I5H73_gp053,SEA_OLDBEN_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2079284,60332296,I5H73_gp054,I5H73_gp054,SEA_OLDBEN_54,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210403,-
2079284,60332297,I5H73_gp055,I5H73_gp055,SEA_OLDBEN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2079284,60332298,I5H73_gp056,I5H73_gp056,SEA_OLDBEN_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2079284,60332299,I5H73_gp057,I5H73_gp057,SEA_OLDBEN_57,-,-,-,HTH DNA-binding protein,protein-coding,-,-,-,HTH DNA-binding protein,20210417,-
2079284,60332300,I5H73_gp058,I5H73_gp058,SEA_OLDBEN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332301,I5H73_gp059,I5H73_gp059,SEA_OLDBEN_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332302,I5H73_gp060,I5H73_gp060,SEA_OLDBEN_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2079284,60332303,I5H73_gp061,I5H73_gp061,SEA_OLDBEN_61,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20210123,-
2079284,60332304,I5H73_gp062,I5H73_gp062,SEA_OLDBEN_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332305,I5H73_gp063,I5H73_gp063,SEA_OLDBEN_63,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210327,-
2079284,60332306,I5H73_gp065,I5H73_gp065,SEA_OLDBEN_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332307,I5H73_gp066,I5H73_gp066,SEA_OLDBEN_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2079284,60332308,I5H73_gp067,I5H73_gp067,SEA_OLDBEN_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332309,I5H73_gp068,I5H73_gp068,SEA_OLDBEN_68,-,-,-,methylase,protein-coding,-,-,-,methylase,20210529,-
2079284,60332310,I5H73_gp069,I5H73_gp069,SEA_OLDBEN_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332311,I5H73_gp070,I5H73_gp070,SEA_OLDBEN_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332312,I5H73_gp071,I5H73_gp071,SEA_OLDBEN_71,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210212,-
2079284,60332313,I5H73_gp072,I5H73_gp072,SEA_OLDBEN_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332314,I5H73_gp073,I5H73_gp073,SEA_OLDBEN_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332315,I5H73_gp074,I5H73_gp074,SEA_OLDBEN_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332316,I5H73_gp075,I5H73_gp075,SEA_OLDBEN_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332317,I5H73_gp076,I5H73_gp076,SEA_OLDBEN_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332318,I5H73_gp077,I5H73_gp077,SEA_OLDBEN_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332319,I5H73_gp078,I5H73_gp078,SEA_OLDBEN_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332320,I5H73_gp079,I5H73_gp079,SEA_OLDBEN_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332321,I5H73_gp080,I5H73_gp080,SEA_OLDBEN_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332322,I5H73_gp081,I5H73_gp081,SEA_OLDBEN_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332323,I5H73_gp082,I5H73_gp082,SEA_OLDBEN_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332324,I5H73_gp083,I5H73_gp083,SEA_OLDBEN_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332325,I5H73_gp085,I5H73_gp085,SEA_OLDBEN_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332326,I5H73_gp086,I5H73_gp086,SEA_OLDBEN_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332327,I5H73_gp087,I5H73_gp087,SEA_OLDBEN_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332328,I5H73_gp088,I5H73_gp088,SEA_OLDBEN_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332329,I5H73_gp089,I5H73_gp089,SEA_OLDBEN_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332330,I5H73_gp090,I5H73_gp090,SEA_OLDBEN_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332331,I5H73_gp091,I5H73_gp091,SEA_OLDBEN_91,-,-,-,HTH DNA-binding domain protein,protein-coding,-,-,-,HTH DNA-binding domain protein,20210424,-
2079284,60332332,I5H73_gp092,I5H73_gp092,SEA_OLDBEN_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332333,I5H73_gp093,I5H73_gp093,SEA_OLDBEN_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332334,I5H73_gp094,I5H73_gp094,SEA_OLDBEN_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332335,I5H73_gp095,I5H73_gp095,SEA_OLDBEN_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332336,I5H73_gp096,I5H73_gp096,SEA_OLDBEN_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332337,I5H73_gp097,I5H73_gp097,SEA_OLDBEN_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2079284,60332338,I5H73_gp098,I5H73_gp098,SEA_OLDBEN_98,-,-,-,galactosyltransferase,protein-coding,-,-,-,galactosyltransferase,20210417,-
2079284,60332339,I5H73_gp099,I5H73_gp099,SEA_OLDBEN_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
