#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1796994,29125643,2,BJD79_gp02,BARRETLEMON_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210327,-
1796994,29125644,3,BJD79_gp03,BARRETLEMON_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1796994,29125645,4,BJD79_gp04,BARRETLEMON_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125646,5,BJD79_gp05,BARRETLEMON_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125647,6,BJD79_gp06,BARRETLEMON_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125648,8,BJD79_gp08,BARRETLEMON_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125649,9,BJD79_gp09,BARRETLEMON_9,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1796994,29125650,10,BJD79_gp10,BARRETLEMON_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125651,11,BJD79_gp11,BARRETLEMON_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125652,12,BJD79_gp12,BARRETLEMON_12,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20201221,-
1796994,29125653,13,BJD79_gp13,BARRETLEMON_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125654,14,BJD79_gp14,BARRETLEMON_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125655,15,BJD79_gp15,BARRETLEMON_15,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20201221,-
1796994,29125656,16,BJD79_gp16,BARRETLEMON_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796994,29125657,17,BJD79_gp17,BARRETLEMON_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
