#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500827,24722539,ACQ65_gp02,ACQ65_gp02,PHL171M01_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500827,24722540,ACQ65_gp03,ACQ65_gp03,PHL171M01_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500827,24722541,ACQ65_gp04,ACQ65_gp04,PHL171M01_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722542,ACQ65_gp05,ACQ65_gp05,PHL171M01_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500827,24722543,ACQ65_gp06,ACQ65_gp06,PHL171M01_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500827,24722544,ACQ65_gp07,ACQ65_gp07,PHL171M01_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722545,ACQ65_gp08,ACQ65_gp08,PHL171M01_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722546,ACQ65_gp09,ACQ65_gp09,PHL171M01_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722547,ACQ65_gp10,ACQ65_gp10,PHL171M01_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722548,ACQ65_gp11,ACQ65_gp11,PHL171M01_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500827,24722549,ACQ65_gp12,ACQ65_gp12,PHL171M01_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722550,ACQ65_gp13,ACQ65_gp13,PHL171M01_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722551,ACQ65_gp14,ACQ65_gp14,PHL171M01_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500827,24722552,ACQ65_gp15,ACQ65_gp15,PHL171M01_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500827,24722553,ACQ65_gp16,ACQ65_gp16,PHL171M01_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500827,24722554,ACQ65_gp17,ACQ65_gp17,PHL171M01_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722555,ACQ65_gp18,ACQ65_gp18,PHL171M01_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722556,ACQ65_gp19,ACQ65_gp19,PHL171M01_19,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500827,24722557,ACQ65_gp20,ACQ65_gp20,PHL171M01_20,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500827,24722558,ACQ65_gp21,ACQ65_gp21,PHL171M01_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500827,24722559,ACQ65_gp22,ACQ65_gp22,PHL171M01_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722560,ACQ65_gp23,ACQ65_gp23,PHL171M01_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500827,24722561,ACQ65_gp24,ACQ65_gp24,PHL171M01_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722562,ACQ65_gp25,ACQ65_gp25,PHL171M01_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722563,ACQ65_gp26,ACQ65_gp26,PHL171M01_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722564,ACQ65_gp27,ACQ65_gp27,PHL171M01_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722565,ACQ65_gp28,ACQ65_gp28,PHL171M01_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722566,ACQ65_gp29,ACQ65_gp29,PHL171M01_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722567,ACQ65_gp30,ACQ65_gp30,PHL171M01_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500827,24722568,ACQ65_gp31,ACQ65_gp31,PHL171M01_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500827,24722569,ACQ65_gp32,ACQ65_gp32,PHL171M01_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722570,ACQ65_gp33,ACQ65_gp33,PHL171M01_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500827,24722571,ACQ65_gp34,ACQ65_gp34,PHL171M01_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722572,ACQ65_gp35,ACQ65_gp35,PHL171M01_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722573,ACQ65_gp36,ACQ65_gp36,PHL171M01_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500827,24722574,ACQ65_gp37,ACQ65_gp37,PHL171M01_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722575,ACQ65_gp38,ACQ65_gp38,PHL171M01_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722576,ACQ65_gp39,ACQ65_gp39,PHL171M01_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722577,ACQ65_gp40,ACQ65_gp40,PHL171M01_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722578,ACQ65_gp41,ACQ65_gp41,PHL171M01_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722579,ACQ65_gp42,ACQ65_gp42,PHL171M01_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722580,ACQ65_gp43,ACQ65_gp43,PHL171M01_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722581,ACQ65_gp44,ACQ65_gp44,PHL171M01_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500827,24722582,ACQ65_gp45,ACQ65_gp45,PHL171M01_45,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500827,24722583,ACQ65_gp01,ACQ65_gp01,PHL171M01_01,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500827,24936546,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
