#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1308899,40077637,FDH51_gp02,FDH51_gp02,LKO4_002,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1308899,40077638,FDH51_gp03,FDH51_gp03,LKO4_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077639,FDH51_gp04,FDH51_gp04,LKO4_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077640,FDH51_gp05,FDH51_gp05,LKO4_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077641,FDH51_gp06,FDH51_gp06,LKO4_006,-,-,-,exodeoxyribonuclease V,protein-coding,-,-,-,exodeoxyribonuclease V,20201221,-
1308899,40077642,FDH51_gp07,FDH51_gp07,LKO4_007,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,20201221,-
1308899,40077643,FDH51_gp08,FDH51_gp08,LKO4_007.1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077644,FDH51_gp09,FDH51_gp09,LKO4_007.2,-,-,-,uracil-DNA glycosylase,protein-coding,-,-,-,uracil-DNA glycosylase,20201221,-
1308899,40077645,FDH51_gp10,FDH51_gp10,LKO4_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077646,FDH51_gp11,FDH51_gp11,LKO4_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077647,FDH51_gp12,FDH51_gp12,LKO4_0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077648,FDH51_gp13,FDH51_gp13,LKO4_0011,-,-,-,"pyridoxal phosphate-dependent enzyme, D-cysteine desulfhydrase family",protein-coding,-,-,-,"pyridoxal phosphate-dependent enzyme, D-cysteine desulfhydrase family",20201221,-
1308899,40077649,FDH51_gp14,FDH51_gp14,LKO4_0011.1,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
1308899,40077650,FDH51_gp15,FDH51_gp15,LKO4_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077651,FDH51_gp16,FDH51_gp16,LKO4_0013,-,-,-,nucleoside triphosphate hydrolases,protein-coding,-,-,-,nucleoside triphosphate hydrolases,20201221,-
1308899,40077652,FDH51_gp17,FDH51_gp17,LKO4_0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077653,FDH51_gp18,FDH51_gp18,LKO4_0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1308899,40077654,FDH51_gp19,FDH51_gp19,LKO4_0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1308899,40077655,FDH51_gp20,FDH51_gp20,LKO4_0017,-,-,-,thymidylate synthase/dCMP hydroxymethylase,protein-coding,-,-,-,thymidylate synthase/dCMP hydroxymethylase,20201221,-
1308899,40077656,FDH51_gp21,FDH51_gp21,LKO4_0018,-,-,-,putative phosphohydrolase,protein-coding,-,-,-,putative phosphohydrolase,20210129,-
