#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
4781,36395056,PHALS_00001,PHALS_00001,-,-,Unknown,-,"Component of synaptic membrane glycine-, glutamate-and thienylcyclohexylpiperidine-binding glycoprotein (43kDa)",protein-coding,-,-,-,"Component of synaptic membrane glycine-, glutamate-and thienylcyclohexylpiperidine-binding glycoprotein (43kDa)",20201008,-
4781,36395057,PHALS_00002,PHALS_00002,-,-,Unknown,-,"Zinc finger, C2H2",protein-coding,-,-,-,"Zinc finger, C2H2",20201008,-
4781,36395058,PHALS_00003,PHALS_00003,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395059,PHALS_00004,PHALS_00004,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395060,PHALS_00005,PHALS_00005,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395061,PHALS_00006,PHALS_00006,-,-,Unknown,-,RxLR-like protein,protein-coding,-,-,-,RxLR-like protein,20201008,-
4781,36395062,PHALS_00007,PHALS_00007,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395063,PHALS_00008,PHALS_00008,-,-,Unknown,-,50s ribosomal protein l16,protein-coding,-,-,-,50s ribosomal protein l16,20201008,-
4781,36395064,PHALS_00009,PHALS_00009,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395065,PHALS_00010,PHALS_00010,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395066,PHALS_00011,PHALS_00011,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395067,PHALS_00012,PHALS_00012,-,-,Unknown,-,ste ste20 ysk protein kinase,protein-coding,-,-,-,ste ste20 ysk protein kinase,20201008,-
4781,36395068,PHALS_00013,PHALS_00013,-,-,Unknown,-,reverse transcriptase,protein-coding,-,-,-,reverse transcriptase,20201008,-
4781,36395069,PHALS_00014,PHALS_00014,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395070,PHALS_00015,PHALS_00015,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395071,PHALS_00016,PHALS_00016,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395072,PHALS_00017,PHALS_00017,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395073,PHALS_00018,PHALS_00018,-,-,Unknown,-,B9 domain,protein-coding,-,-,-,B9 domain,20201008,-
4781,36395074,PHALS_00019,PHALS_00019,-,-,Unknown,-,e3 ubiquitin-protein ligase march6 (membrane-associated ring finger protein 6),protein-coding,-,-,-,e3 ubiquitin-protein ligase march6 (membrane-associated ring finger protein 6),20201008,-
4781,36395075,PHALS_00020,PHALS_00020,-,-,Unknown,-,RxLR-like protein,protein-coding,-,-,-,RxLR-like protein,20201008,-
4781,36395076,PHALS_00021,PHALS_00021,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395077,PHALS_00022,PHALS_00022,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395078,PHALS_00023,PHALS_00023,-,-,Unknown,-,DNA-binding centromere protein B (CENP-B),protein-coding,-,-,-,DNA-binding centromere protein B (CENP-B),20201008,-
4781,36395079,PHALS_00024,PHALS_00024,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395080,PHALS_00025,PHALS_00025,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395081,PHALS_00026,PHALS_00026,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395082,PHALS_00027,PHALS_00027,-,-,Unknown,-,"25S rRNA (adenine(2142)-N(1))-methyltransferase, Bmt2",protein-coding,-,-,-,"25S rRNA (adenine(2142)-N(1))-methyltransferase, Bmt2",20201008,-
4781,36395083,PHALS_00028,PHALS_00028,-,-,Unknown,-,Nuclear protein ES2,protein-coding,-,-,-,Nuclear protein ES2,20201008,-
4781,36395084,PHALS_00029,PHALS_00029,-,-,Unknown,-,L-lysine 6-monooxygenase/L-ornithine 5-monooxygenase,protein-coding,-,-,-,L-lysine 6-monooxygenase/L-ornithine 5-monooxygenase,20201008,-
4781,36395085,PHALS_00030,PHALS_00030,-,-,Unknown,-,hypothetical protein F443_11400,protein-coding,-,-,-,hypothetical protein F443_11400,20201008,-
4781,36395086,PHALS_00031,PHALS_00031,-,-,Unknown,-,h-or na-translocating f-v-type and a-type atpase (f-atpase) superfamily,protein-coding,-,-,-,h-or na-translocating f-v-type and a-type atpase (f-atpase) superfamily,20201008,-
4781,36395087,PHALS_00032,PHALS_00032,-,-,Unknown,-,trna wybutosine-synthesizing protein 1 homolog,protein-coding,-,-,-,trna wybutosine-synthesizing protein 1 homolog,20201008,-
4781,36395088,PHALS_00033,PHALS_00033,-,-,Unknown,-,nucleoside diphosphate kinase,protein-coding,-,-,-,nucleoside diphosphate kinase,20201008,-
4781,36395089,PHALS_00034,PHALS_00034,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201008,-
4781,36395090,PHALS_00035,PHALS_00035,-,-,Unknown,-,PAN-1 domain,protein-coding,-,-,-,PAN-1 domain,20201008,-
