#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1234701,14217041,BN425_orf_02,BN425_orf_02,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201221,-
1234701,14217042,BN425_orf_03,BN425_orf_03,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20210212,-
1234701,14217043,BN425_orf_04,BN425_orf_04,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1234701,14217044,BN425_orf_05,BN425_orf_05,-,-,-,-,putative scaffold protein,protein-coding,-,-,-,putative scaffold protein,20201221,-
1234701,14217045,BN425_orf_06,BN425_orf_06,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1234701,14217046,BN425_orf_07,BN425_orf_07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217047,BN425_orf_08,BN425_orf_08,-,-,-,-,constituent protein,protein-coding,-,-,-,constituent protein,20201221,-
1234701,14217048,BN425_orf_09,BN425_orf_09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217049,BN425_orf_10,BN425_orf_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217050,BN425_orf_11,BN425_orf_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217051,BN425_orf_12,BN425_orf_12,-,-,-,-,constituent protein,protein-coding,-,-,-,constituent protein,20201221,-
1234701,14217052,BN425_orf_13,BN425_orf_13,-,-,-,-,constituent protein,protein-coding,-,-,-,constituent protein,20201221,-
1234701,14217053,BN425_orf_14,BN425_orf_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217054,BN425_orf_15,BN425_orf_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217055,BN425_orf_16,BN425_orf_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217056,BN425_orf_17,BN425_orf_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1234701,14217057,BN425_orf_18,BN425_orf_18,-,-,-,-,constituent protein,protein-coding,-,-,-,constituent protein,20201221,-
