#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2756144,65132106,KNV63_gp02,KNV63_gp02,-,-,-,-,nucleotide kinase,protein-coding,-,-,-,nucleotide kinase,20210608,-
2756144,65132107,KNV63_gp03,KNV63_gp03,-,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20210608,-
2756144,65132108,KNV63_gp04,KNV63_gp04,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210608,-
2756144,65132109,KNV63_gp05,KNV63_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2756144,65132110,KNV63_gp06,KNV63_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2756144,65132111,KNV63_gp07,KNV63_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2756144,65132112,KNV63_gp08,KNV63_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2756144,65132113,KNV63_gp09,KNV63_gp09,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210608,-
2756144,65132114,KNV63_gp10,KNV63_gp10,-,-,-,-,terminal protein,protein-coding,-,-,-,terminal protein,20210609,-
2756144,65132115,KNV63_gp11,KNV63_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2756144,65132116,KNV63_gp12,KNV63_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2756144,65132117,KNV63_gp13,KNV63_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2756144,65132118,KNV63_gp14,KNV63_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2756144,65132119,KNV63_gp15,KNV63_gp15,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210608,-
2756144,65132120,KNV63_gp16,KNV63_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2756144,65132121,KNV63_gp17,KNV63_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2756144,65132122,KNV63_gp18,KNV63_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2756144,65132123,KNV63_gp19,KNV63_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2756144,65132124,KNV63_gp20,KNV63_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2756144,65132125,KNV63_gp21,KNV63_gp21,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20210608,-
2756144,65132126,KNV63_gp22,KNV63_gp22,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2756144,65132127,KNV63_gp23,KNV63_gp23,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210608,-
2756144,65132128,KNV63_gp24,KNV63_gp24,-,-,-,-,upper collar protein,protein-coding,-,-,-,upper collar protein,20210608,-
2756144,65132129,KNV63_gp25,KNV63_gp25,-,-,-,-,lower collar protein,protein-coding,-,-,-,lower collar protein,20210608,-
2756144,65132130,KNV63_gp26,KNV63_gp26,-,-,-,-,pre-neck appendage protein,protein-coding,-,-,-,pre-neck appendage protein,20210608,-
2756144,65132131,KNV63_gp27,KNV63_gp27,-,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210608,-
2756144,65132132,KNV63_gp28,KNV63_gp28,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210608,-
2756144,65132133,KNV63_gp29,KNV63_gp29,-,-,-,-,DNA encapsidation ATPase,protein-coding,-,-,-,DNA encapsidation ATPase,20210608,-
2756144,65132134,KNV63_gp30,KNV63_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2756144,65132135,KNV63_gp31,KNV63_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2756144,65132136,KNV63_gp32,KNV63_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2756144,65132137,KNV63_gp01,KNV63_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2756144,65243459,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacillus Phage Baseball Field).,other,-,-,-,-,20210609,-
