#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1567475,23679417,2,VC60_gp02,PBI_SBASH_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1567475,23679418,3,VC60_gp03,PBI_SBASH_3,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200927,-
1567475,23679419,4,VC60_gp04,PBI_SBASH_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1567475,23679420,5,VC60_gp05,PBI_SBASH_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1567475,23679421,6,VC60_gp06,PBI_SBASH_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1567475,23679422,7,VC60_gp07,PBI_SBASH_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679423,8,VC60_gp08,PBI_SBASH_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679424,9,VC60_gp09,PBI_SBASH_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679425,10,VC60_gp10,PBI_SBASH_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679426,11,VC60_gp11,PBI_SBASH_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679427,12,VC60_gp12,PBI_SBASH_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679428,14,VC60_gp13,PBI_SBASH_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1567475,23679429,15,VC60_gp15,PBI_SBASH_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1567475,23679430,13,VC60_gp14,PBI_SBASH_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1567475,23679431,16,VC60_gp16,PBI_SBASH_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1567475,23679432,17,VC60_gp17,PBI_SBASH_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1567475,23679433,18,VC60_gp18,PBI_SBASH_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679434,19,VC60_gp19,PBI_SBASH_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1567475,23679435,20,VC60_gp20,PBI_SBASH_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679436,21,VC60_gp21,PBI_SBASH_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679437,22,VC60_gp22,PBI_SBASH_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679438,23,VC60_gp23,PBI_SBASH_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679439,24,VC60_gp24,PBI_SBASH_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679440,25,VC60_gp25,PBI_SBASH_25,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1567475,23679441,26,VC60_gp26,PBI_SBASH_26,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1567475,23679442,27,VC60_gp27,PBI_SBASH_27,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1567475,23679443,28,VC60_gp28,PBI_SBASH_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679444,29,VC60_gp29,PBI_SBASH_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679445,30,VC60_gp30,PBI_SBASH_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679446,31,VC60_gp31,PBI_SBASH_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679447,32,VC60_gp32,PBI_SBASH_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679448,33,VC60_gp33,PBI_SBASH_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679449,34,VC60_gp34,PBI_SBASH_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679450,35,VC60_gp35,PBI_SBASH_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679451,36,VC60_gp36,PBI_SBASH_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679452,37,VC60_gp37,PBI_SBASH_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679453,38,VC60_gp38,PBI_SBASH_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679454,39,VC60_gp39,PBI_SBASH_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679455,40,VC60_gp40,PBI_SBASH_40,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200927,-
1567475,23679456,41,VC60_gp41,PBI_SBASH_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679457,42,VC60_gp42,PBI_SBASH_42,-,-,-,IrrE-like protein,protein-coding,-,-,-,IrrE-like protein,20200927,-
1567475,23679458,43,VC60_gp43,PBI_SBASH_43,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200927,-
1567475,23679459,44,VC60_gp44,PBI_SBASH_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679460,45,VC60_gp45,PBI_SBASH_45,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20200927,-
1567475,23679461,46,VC60_gp46,PBI_SBASH_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679462,47,VC60_gp47,PBI_SBASH_47,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200927,-
1567475,23679463,48,VC60_gp48,PBI_SBASH_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679464,49,VC60_gp49,PBI_SBASH_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679465,50,VC60_gp50,PBI_SBASH_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679466,51,VC60_gp51,PBI_SBASH_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679467,52,VC60_gp52,PBI_SBASH_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679468,53,VC60_gp53,PBI_SBASH_53,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20200927,-
1567475,23679469,54,VC60_gp54,PBI_SBASH_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679470,55,VC60_gp55,PBI_SBASH_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679471,56,VC60_gp56,PBI_SBASH_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679472,57,VC60_gp57,PBI_SBASH_57,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20200927,-
1567475,23679473,58,VC60_gp58,PBI_SBASH_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679474,59,VC60_gp59,PBI_SBASH_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679475,60,VC60_gp60,PBI_SBASH_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679476,61,VC60_gp61,PBI_SBASH_61,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20200927,-
1567475,23679477,62,VC60_gp62,PBI_SBASH_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679478,63,VC60_gp63,PBI_SBASH_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679479,64,VC60_gp64,PBI_SBASH_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679480,65,VC60_gp65,PBI_SBASH_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679481,66,VC60_gp66,PBI_SBASH_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567475,23679482,67,VC60_gp67,PBI_SBASH_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
