#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1815608,29126041,2,SEA_BROCALYS_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1815608,29126042,3,SEA_BROCALYS_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1815608,29126043,4,SEA_BROCALYS_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200629,-
1815608,29126044,5,SEA_BROCALYS_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200629,-
1815608,29126045,6,SEA_BROCALYS_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
1815608,29126046,7,SEA_BROCALYS_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200629,-
1815608,29126047,8,SEA_BROCALYS_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200629,-
1815608,29126048,9,SEA_BROCALYS_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1815608,29126049,10,SEA_BROCALYS_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200629,-
1815608,29126050,11,SEA_BROCALYS_11,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20200629,-
1815608,29126051,13,SEA_BROCALYS_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1815608,29126052,14,SEA_BROCALYS_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200629,-
1815608,29126053,12,SEA_BROCALYS_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1815608,29126054,15,SEA_BROCALYS_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1815608,29126055,16,SEA_BROCALYS_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1815608,29126056,17,SEA_BROCALYS_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1815608,29126057,18,SEA_BROCALYS_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1815608,29126058,19,SEA_BROCALYS_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1815608,29126059,20,SEA_BROCALYS_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1815608,29126060,21,SEA_BROCALYS_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126061,22,SEA_BROCALYS_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126062,23,SEA_BROCALYS_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126063,24,SEA_BROCALYS_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126064,25,SEA_BROCALYS_25,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200629,-
1815608,29126065,26,SEA_BROCALYS_26,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200629,-
1815608,29126066,27,SEA_BROCALYS_27,-,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
1815608,29126067,28,SEA_BROCALYS_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126068,29,SEA_BROCALYS_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126069,30,SEA_BROCALYS_30,-,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20200629,-
1815608,29126070,31,SEA_BROCALYS_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126071,32,SEA_BROCALYS_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126072,33,SEA_BROCALYS_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126073,34,SEA_BROCALYS_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126074,35,SEA_BROCALYS_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126075,36,SEA_BROCALYS_36,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210529,-
1815608,29126076,37,SEA_BROCALYS_37,-,-,-,-,antitoxin,protein-coding,-,-,-,antitoxin,20200629,-
1815608,29126077,38,SEA_BROCALYS_38,-,-,-,-,toxin,protein-coding,-,-,-,toxin,20200629,-
1815608,29126078,39,SEA_BROCALYS_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126079,40,SEA_BROCALYS_40,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20200629,-
1815608,29126080,41,SEA_BROCALYS_41,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200629,-
1815608,29126081,42,SEA_BROCALYS_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126082,43,SEA_BROCALYS_43,-,-,-,-,antirepressor protein,protein-coding,-,-,-,antirepressor protein,20210424,-
1815608,29126083,44,SEA_BROCALYS_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126084,45,SEA_BROCALYS_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126085,46,SEA_BROCALYS_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126086,47,SEA_BROCALYS_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126087,48,SEA_BROCALYS_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126088,49,SEA_BROCALYS_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1815608,29126089,50,SEA_BROCALYS_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
