#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2768139,60333501,2,I5H85_gp002,SEA_ROYALS2015_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2768139,60333502,3,I5H85_gp003,SEA_ROYALS2015_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2768139,60333503,4,I5H85_gp004,SEA_ROYALS2015_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2768139,60333504,5,I5H85_gp005,SEA_ROYALS2015_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2768139,60333505,6,I5H85_gp006,SEA_ROYALS2015_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2768139,60333506,7,I5H85_gp007,SEA_ROYALS2015_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2768139,60333507,8,I5H85_gp008,SEA_ROYALS2015_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2768139,60333508,9,I5H85_gp009,SEA_ROYALS2015_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2768139,60333509,10,I5H85_gp010,SEA_ROYALS2015_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2768139,60333510,11,I5H85_gp011,SEA_ROYALS2015_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2768139,60333511,13,I5H85_gp012,SEA_ROYALS2015_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2768139,60333512,14,I5H85_gp014,SEA_ROYALS2015_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210529,-
2768139,60333513,12,I5H85_gp013,SEA_ROYALS2015_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2768139,60333514,15,I5H85_gp015,SEA_ROYALS2015_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2768139,60333515,16,I5H85_gp016,SEA_ROYALS2015_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2768139,60333516,17,I5H85_gp017,SEA_ROYALS2015_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2768139,60333517,18,I5H85_gp018,SEA_ROYALS2015_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2768139,60333518,19,I5H85_gp019,SEA_ROYALS2015_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2768139,60333519,20,I5H85_gp020,SEA_ROYALS2015_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2768139,60333520,21,I5H85_gp021,SEA_ROYALS2015_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333521,22,I5H85_gp022,SEA_ROYALS2015_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333522,23,I5H85_gp023,SEA_ROYALS2015_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333523,24,I5H85_gp024,SEA_ROYALS2015_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2768139,60333524,25,I5H85_gp025,SEA_ROYALS2015_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333525,26,I5H85_gp026,SEA_ROYALS2015_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333526,27,I5H85_gp027,SEA_ROYALS2015_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333527,28,I5H85_gp028,SEA_ROYALS2015_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333528,29,I5H85_gp029,SEA_ROYALS2015_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333529,30,I5H85_gp030,SEA_ROYALS2015_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210529,-
2768139,60333530,31,I5H85_gp031,SEA_ROYALS2015_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2768139,60333531,32,I5H85_gp032,SEA_ROYALS2015_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2768139,60333532,33,I5H85_gp033,SEA_ROYALS2015_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2768139,60333533,34,I5H85_gp034,SEA_ROYALS2015_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333534,35,I5H85_gp035,SEA_ROYALS2015_35,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210424,-
2768139,60333535,36,I5H85_gp036,SEA_ROYALS2015_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333536,37,I5H85_gp037,SEA_ROYALS2015_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333537,38,I5H85_gp038,SEA_ROYALS2015_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333538,39,I5H85_gp039,SEA_ROYALS2015_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333539,40,I5H85_gp040,SEA_ROYALS2015_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333540,41,I5H85_gp041,SEA_ROYALS2015_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333541,42,I5H85_gp042,SEA_ROYALS2015_42,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210123,-
2768139,60333542,43,I5H85_gp043,SEA_ROYALS2015_43,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210129,-
2768139,60333543,44,I5H85_gp044,SEA_ROYALS2015_44,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2768139,60333544,45,I5H85_gp045,SEA_ROYALS2015_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2768139,60333545,47,I5H85_gp047,SEA_ROYALS2015_47,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210529,-
