#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2759390,62361306,2,JMN67_gp002,SEA_JORGENSEN_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2759390,62361307,3,JMN67_gp003,SEA_JORGENSEN_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361308,4,JMN67_gp004,SEA_JORGENSEN_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361309,5,JMN67_gp005,SEA_JORGENSEN_5,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2759390,62361310,6,JMN67_gp006,SEA_JORGENSEN_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361311,7,JMN67_gp007,SEA_JORGENSEN_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361312,8,JMN67_gp008,SEA_JORGENSEN_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361313,9,JMN67_gp009,SEA_JORGENSEN_9,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2759390,62361314,10,JMN67_gp010,SEA_JORGENSEN_10,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210123,-
2759390,62361315,11,JMN67_gp011,SEA_JORGENSEN_11,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2759390,62361316,12,JMN67_gp012,SEA_JORGENSEN_12,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2759390,62361317,13,JMN67_gp013,SEA_JORGENSEN_13,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210123,-
2759390,62361318,14,JMN67_gp014,SEA_JORGENSEN_14,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210123,-
2759390,62361319,15,JMN67_gp015,SEA_JORGENSEN_15,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2759390,62361320,16,JMN67_gp016,SEA_JORGENSEN_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361321,17,JMN67_gp017,SEA_JORGENSEN_17,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210212,-
2759390,62361322,18,JMN67_gp018,SEA_JORGENSEN_18,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210123,-
2759390,62361323,19,JMN67_gp019,SEA_JORGENSEN_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2759390,62361324,20,JMN67_gp020,SEA_JORGENSEN_20,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210123,-
2759390,62361325,21,JMN67_gp021,SEA_JORGENSEN_21,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
2759390,62361326,23,JMN67_gp022,SEA_JORGENSEN_23,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
2759390,62361327,24,JMN67_gp024,SEA_JORGENSEN_24,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210529,-
2759390,62361328,22,JMN67_gp023,SEA_JORGENSEN_22,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
2759390,62361329,25,JMN67_gp025,SEA_JORGENSEN_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2759390,62361330,26,JMN67_gp026,SEA_JORGENSEN_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361331,27,JMN67_gp027,SEA_JORGENSEN_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2759390,62361332,28,JMN67_gp028,SEA_JORGENSEN_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2759390,62361333,29,JMN67_gp029,SEA_JORGENSEN_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361334,30,JMN67_gp030,SEA_JORGENSEN_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361335,31,JMN67_gp031,SEA_JORGENSEN_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2759390,62361336,32,JMN67_gp032,SEA_JORGENSEN_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2759390,62361337,33,JMN67_gp033,SEA_JORGENSEN_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361338,34,JMN67_gp034,SEA_JORGENSEN_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361339,35,JMN67_gp035,SEA_JORGENSEN_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361340,36,JMN67_gp036,SEA_JORGENSEN_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361341,37,JMN67_gp037,SEA_JORGENSEN_37,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210529,-
2759390,62361342,38,JMN67_gp038,SEA_JORGENSEN_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361343,39,JMN67_gp039,SEA_JORGENSEN_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361344,40,JMN67_gp040,SEA_JORGENSEN_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361345,41,JMN67_gp041,SEA_JORGENSEN_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361346,42,JMN67_gp042,SEA_JORGENSEN_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361347,43,JMN67_gp043,SEA_JORGENSEN_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361348,44,JMN67_gp044,SEA_JORGENSEN_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361349,45,JMN67_gp045,SEA_JORGENSEN_45,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210529,-
2759390,62361350,46,JMN67_gp046,SEA_JORGENSEN_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361351,47,JMN67_gp047,SEA_JORGENSEN_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361352,48,JMN67_gp048,SEA_JORGENSEN_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759390,62361353,49,JMN67_gp049,SEA_JORGENSEN_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
