#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821541,29126399,2,BJD68_gp02,SEA_PHRANN_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1821541,29126400,3,BJD68_gp03,SEA_PHRANN_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126401,4,BJD68_gp04,SEA_PHRANN_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1821541,29126402,5,BJD68_gp05,SEA_PHRANN_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1821541,29126403,6,BJD68_gp06,SEA_PHRANN_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1821541,29126404,7,BJD68_gp07,SEA_PHRANN_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126405,8,BJD68_gp08,SEA_PHRANN_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126406,9,BJD68_gp09,SEA_PHRANN_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1821541,29126407,10,BJD68_gp10,SEA_PHRANN_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821541,29126408,11,BJD68_gp11,SEA_PHRANN_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1821541,29126409,12,BJD68_gp12,SEA_PHRANN_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200927,-
1821541,29126410,13,BJD68_gp13,SEA_PHRANN_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1821541,29126411,15,BJD68_gp14,SEA_PHRANN_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1821541,29126412,16,BJD68_gp16,SEA_PHRANN_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1821541,29126413,14,BJD68_gp15,SEA_PHRANN_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
