#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2723898,65124795,KNU94_gp02,KNU94_gp02,XccvBFoX2_gp02,-,-,-,glycolate dehydrogenase,protein-coding,-,-,-,glycolate dehydrogenase,20210608,-
2723898,65124796,KNU94_gp03,KNU94_gp03,XccvBFoX2_gp03,-,-,-,"head, terminase DNA packaging protein A",protein-coding,-,-,-,"head, terminase DNA packaging protein A",20210608,-
2723898,65124797,KNU94_gp04,KNU94_gp04,XccvBFoX2_gp04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124798,KNU94_gp05,KNU94_gp05,XccvBFoX2_gp05,-,-,-,"head, portal protein B",protein-coding,-,-,-,"head, portal protein B",20210608,-
2723898,65124799,KNU94_gp06,KNU94_gp06,XccvBFoX2_gp06,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2723898,65124800,KNU94_gp07,KNU94_gp07,XccvBFoX2_gp07c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124801,KNU94_gp08,KNU94_gp08,XccvBFoX2_gp08c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124802,KNU94_gp09,KNU94_gp09,XccvBFoX2_gp09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124803,KNU94_gp10,KNU94_gp10,XccvBFoX2_gp10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124804,KNU94_gp11,KNU94_gp11,XccvBFoX2_gp11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124805,KNU94_gp12,KNU94_gp12,XccvBFoX2_gp12,-,-,-,minor tail protein Z-like protein,protein-coding,-,-,-,minor tail protein Z-like protein,20210608,-
2723898,65124806,KNU94_gp13,KNU94_gp13,XccvBFoX2_gp13,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2723898,65124807,KNU94_gp14,KNU94_gp14,XccvBFoX2_gp14,-,-,-,baseplate assembly protein V,protein-coding,-,-,-,baseplate assembly protein V,20210608,-
2723898,65124808,KNU94_gp15,KNU94_gp15,XccvBFoX2_gp15,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20210608,-
2723898,65124809,KNU94_gp16,KNU94_gp16,XccvBFoX2_gp16,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20210608,-
2723898,65124810,KNU94_gp17,KNU94_gp17,XccvBFoX2_gp17,-,-,-,tail formation protein,protein-coding,-,-,-,tail formation protein,20210608,-
2723898,65124811,KNU94_gp18,KNU94_gp18,XccvBFoX2_gp18,-,-,-,putative tail collar fiber protein,protein-coding,-,-,-,putative tail collar fiber protein,20210608,-
2723898,65124812,KNU94_gp19,KNU94_gp19,XccvBFoX2_gp19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723898,65124813,KNU94_gp20,KNU94_gp20,XccvBFoX2_gp20,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20210608,-
