#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2041205,64471219,KGG83_gp02,KGG83_gp02,SEA_AMETHYST_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210505,-
2041205,64471220,KGG83_gp03,KGG83_gp03,SEA_AMETHYST_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471221,KGG83_gp04,KGG83_gp04,SEA_AMETHYST_4,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210505,-
2041205,64471222,KGG83_gp05,KGG83_gp05,SEA_AMETHYST_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471223,KGG83_gp06,KGG83_gp06,SEA_AMETHYST_6,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210505,-
2041205,64471224,KGG83_gp07,KGG83_gp07,SEA_AMETHYST_7,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210505,-
2041205,64471225,KGG83_gp08,KGG83_gp08,SEA_AMETHYST_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471226,KGG83_gp09,KGG83_gp09,SEA_AMETHYST_9,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210505,-
2041205,64471227,KGG83_gp10,KGG83_gp10,SEA_AMETHYST_10,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210505,-
2041205,64471228,KGG83_gp11,KGG83_gp11,SEA_AMETHYST_11,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210505,-
2041205,64471229,KGG83_gp12,KGG83_gp12,SEA_AMETHYST_12,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210505,-
2041205,64471230,KGG83_gp13,KGG83_gp13,SEA_AMETHYST_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041205,64471231,KGG83_gp14,KGG83_gp14,SEA_AMETHYST_14,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210505,-
2041205,64471232,KGG83_gp15,KGG83_gp15,SEA_AMETHYST_15,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210505,-
2041205,64471233,KGG83_gp16,KGG83_gp16,SEA_AMETHYST_17,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210505,-
2041205,64471234,KGG83_gp18,KGG83_gp18,SEA_AMETHYST_18,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210505,-
