#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
40302,9452517,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20180519,-
40302,36318394,AAJ76_10000010181,AAJ76_10000010181,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
40302,36318395,AAJ76_1000005575,AAJ76_1000005575,-,-,Unknown,-,gag-pol fusion protein,protein-coding,-,-,-,gag-pol fusion protein,20200918,-
40302,36318396,AAJ76_1000007056,AAJ76_1000007056,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
40302,36318397,AAJ76_1000010709,AAJ76_1000010709,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
40302,36318398,AAJ76_1000010987,AAJ76_1000010987,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
40302,36318399,AAJ76_1000011728,AAJ76_1000011728,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
40302,36318400,AAJ76_1000013104,AAJ76_1000013104,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
40302,36318401,AAJ76_1000014197,AAJ76_1000014197,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
40302,36318402,AAJ76_1000016205,AAJ76_1000016205,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
40302,36318403,AAJ76_1000017004,AAJ76_1000017004,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
40302,36318404,AAJ76_1000019447,AAJ76_1000019447,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
40302,36318405,AAJ76_1000021220,AAJ76_1000021220,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
40302,36318406,AAJ76_100002194,AAJ76_100002194,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
40302,36318407,AAJ76_1000027437,AAJ76_1000027437,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
40302,36318408,AAJ76_1000030583,AAJ76_1000030583,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
40302,36318409,AAJ76_1000034815,AAJ76_1000034815,-,-,Unknown,-,ricin b lectin,protein-coding,-,-,-,ricin b lectin,20200918,-
40302,36318410,AAJ76_1000036592,AAJ76_1000036592,-,-,Unknown,-,ribonucleoside diphosphate reductase small chain,protein-coding,-,-,-,ribonucleoside diphosphate reductase small chain,20210424,-
40302,36318411,AAJ76_1000038323,AAJ76_1000038323,-,-,Unknown,-,protein phosphatase type 2a phosphotyrosyl phosphatase activator,protein-coding,-,-,-,protein phosphatase type 2a phosphotyrosyl phosphatase activator,20210417,-
40302,36318412,AAJ76_1000039659,AAJ76_1000039659,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
40302,36318413,AAJ76_1000040158,AAJ76_1000040158,-,-,Unknown,-,adenylate kinase related protein,protein-coding,-,-,-,adenylate kinase related protein,20210424,-
40302,36318414,AAJ76_1000042440,AAJ76_1000042440,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
