#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2175169,54994472,HOT50_gp02,HOT50_gp02,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210129,-
2175169,54994473,HOT50_gp03,HOT50_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2175169,54994474,HOT50_gp04,HOT50_gp04,-,-,-,-,putative major head subunit precursor,protein-coding,-,-,-,putative major head subunit precursor,20210129,-
2175169,54994475,HOT50_gp05,HOT50_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994476,HOT50_gp06,HOT50_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2175169,54994477,HOT50_gp07,HOT50_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2175169,54994478,HOT50_gp08,HOT50_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994479,HOT50_gp09,HOT50_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2175169,54994480,HOT50_gp10,HOT50_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994481,HOT50_gp11,HOT50_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2175169,54994482,HOT50_gp12,HOT50_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210130,-
2175169,54994483,HOT50_gp13,HOT50_gp13,-,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20210129,-
2175169,54994484,HOT50_gp14,HOT50_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2175169,54994485,HOT50_gp15,HOT50_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2175169,54994486,HOT50_gp16,HOT50_gp16,-,-,-,-,putative tail tape measure protein,protein-coding,-,-,-,putative tail tape measure protein,20210129,-
2175169,54994487,HOT50_gp17,HOT50_gp17,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210129,-
2175169,54994488,HOT50_gp18,HOT50_gp18,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210129,-
2175169,54994489,HOT50_gp19,HOT50_gp19,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210129,-
