#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2070190,65069111,KMC72_gp02,KMC72_gp02,DRAGOLIR_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2070190,65069112,KMC72_gp03,KMC72_gp03,DRAGOLIR_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2070190,65069113,KMC72_gp04,KMC72_gp04,DRAGOLIR_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210607,-
2070190,65069114,KMC72_gp05,KMC72_gp05,DRAGOLIR_5,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2070190,65069115,KMC72_gp06,KMC72_gp06,DRAGOLIR_6,-,-,-,head-tail connector complex protein,protein-coding,-,-,-,head-tail connector complex protein,20210607,-
2070190,65069116,KMC72_gp07,KMC72_gp07,DRAGOLIR_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069117,KMC72_gp08,KMC72_gp08,DRAGOLIR_8,-,-,-,head-tail connector complex protein,protein-coding,-,-,-,head-tail connector complex protein,20210607,-
2070190,65069118,KMC72_gp09,KMC72_gp09,DRAGOLIR_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069119,KMC72_gp10,KMC72_gp10,DRAGOLIR_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069120,KMC72_gp11,KMC72_gp11,DRAGOLIR_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
2070190,65069121,KMC72_gp12,KMC72_gp12,DRAGOLIR_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069122,KMC72_gp13,KMC72_gp13,DRAGOLIR_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069123,KMC72_gp14,KMC72_gp14,DRAGOLIR_14,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20210607,-
2070190,65069124,KMC72_gp15,KMC72_gp15,DRAGOLIR_15,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210607,-
2070190,65069125,KMC72_gp16,KMC72_gp16,DRAGOLIR_16,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210607,-
2070190,65069126,KMC72_gp17,KMC72_gp17,DRAGOLIR_17,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210607,-
2070190,65069127,KMC72_gp18,KMC72_gp18,DRAGOLIR_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069128,KMC72_gp19,KMC72_gp19,DRAGOLIR_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069129,KMC72_gp20,KMC72_gp20,DRAGOLIR_20,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20210607,-
2070190,65069130,KMC72_gp21,KMC72_gp21,DRAGOLIR_21,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210607,-
2070190,65069131,KMC72_gp22,KMC72_gp22,DRAGOLIR_22,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20210607,-
2070190,65069132,KMC72_gp23,KMC72_gp23,DRAGOLIR_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2070190,65069133,KMC72_gp24,KMC72_gp24,DRAGOLIR_24,-,-,-,putative toxin-like protein,protein-coding,-,-,-,putative toxin-like protein,20210607,-
2070190,65069134,KMC72_gp25,KMC72_gp25,DRAGOLIR_25,-,-,-,XRE family transcriptional regulator,protein-coding,-,-,-,XRE family transcriptional regulator,20210607,-
2070190,65069135,KMC72_gp26,KMC72_gp26,DRAGOLIR_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
