#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2041209,64471299,KGG85_gp02,KGG85_gp02,SEA_TEFUNT_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210505,-
2041209,64471300,KGG85_gp03,KGG85_gp03,SEA_TEFUNT_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471301,KGG85_gp05,KGG85_gp05,SEA_TEFUNT_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471302,KGG85_gp04,KGG85_gp04,SEA_TEFUNT_4,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210505,-
2041209,64471303,KGG85_gp06,KGG85_gp06,SEA_TEFUNT_6,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210505,-
2041209,64471304,KGG85_gp08,KGG85_gp08,SEA_TEFUNT_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471305,KGG85_gp09,KGG85_gp09,SEA_TEFUNT_9,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210505,-
2041209,64471306,KGG85_gp10,KGG85_gp10,SEA_TEFUNT_10,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210505,-
2041209,64471307,KGG85_gp11,KGG85_gp11,SEA_TEFUNT_11,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210505,-
2041209,64471308,KGG85_gp12,KGG85_gp12,SEA_TEFUNT_12,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210505,-
2041209,64471309,KGG85_gp13,KGG85_gp13,SEA_TEFUNT_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2041209,64471310,KGG85_gp14,KGG85_gp14,SEA_TEFUNT_14,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210505,-
2041209,64471311,KGG85_gp15,KGG85_gp15,SEA_TEFUNT_15,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210505,-
2041209,64471312,KGG85_gp16,KGG85_gp16,SEA_TEFUNT_17,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210505,-
2041209,64471313,KGG85_gp18,KGG85_gp18,SEA_TEFUNT_18,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210505,-
2041209,64471314,KGG85_gp17,KGG85_gp17,SEA_TEFUNT_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210505,-
2041209,64471315,KGG85_gp19,KGG85_gp19,SEA_TEFUNT_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2041209,64471316,KGG85_gp20,KGG85_gp20,SEA_TEFUNT_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
