#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2588501,55619182,2,HWC43_gp02,SEA_DINA_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200910,-
2588501,55619183,3,HWC43_gp03,SEA_DINA_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2588501,55619184,4,HWC43_gp04,SEA_DINA_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210403,-
2588501,55619185,27,HWC43_gp27,SEA_DINA_27,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210417,-
2588501,55619186,28,HWC43_gp28,SEA_DINA_28,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210417,-
2588501,55619187,29,HWC43_gp29,SEA_DINA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619188,30,HWC43_gp30,SEA_DINA_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619189,58,HWC43_gp58,SEA_DINA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619190,59,HWC43_gp59,SEA_DINA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619191,60,HWC43_gp60,SEA_DINA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619192,61,HWC43_gp61,SEA_DINA_61,-,-,-,RtcB-like RNA ligase,protein-coding,-,-,-,RtcB-like RNA ligase,20210417,-
2588501,55619193,62,HWC43_gp62,SEA_DINA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619194,63,HWC43_gt01,SEA_DINA_63,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2588501,55619195,64,HWC43_gp63,SEA_DINA_64,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2588501,55619196,5,HWC43_gp05,SEA_DINA_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619197,6,HWC43_gp06,SEA_DINA_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
2588501,55619198,12,HWC43_gp12,SEA_DINA_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210417,-
2588501,55619199,14,HWC43_gp13,SEA_DINA_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2588501,55619200,15,HWC43_gp15,SEA_DINA_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200912,-
2588501,55619201,13,HWC43_gp14,SEA_DINA_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2588501,55619202,20,HWC43_gp20,SEA_DINA_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619203,21,HWC43_gp21,SEA_DINA_21,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2588501,55619204,22,HWC43_gp22,SEA_DINA_22,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
2588501,55619205,23,HWC43_gp23,SEA_DINA_23,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2588501,55619206,49,HWC43_gp49,SEA_DINA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619207,50,HWC43_gp50,SEA_DINA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619208,51,HWC43_gp51,SEA_DINA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619209,52,HWC43_gp52,SEA_DINA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619210,53,HWC43_gp53,SEA_DINA_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619211,54,HWC43_gp54,SEA_DINA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619212,55,HWC43_gp55,SEA_DINA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619213,56,HWC43_gp56,SEA_DINA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619214,57,HWC43_gp57,SEA_DINA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619215,10,HWC43_gp10,SEA_DINA_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619216,11,HWC43_gp11,SEA_DINA_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619217,17,HWC43_gp17,SEA_DINA_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2588501,55619218,18,HWC43_gp18,SEA_DINA_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619219,19,HWC43_gp19,SEA_DINA_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619220,31,HWC43_gp31,SEA_DINA_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619221,32,HWC43_gp32,SEA_DINA_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619222,33,HWC43_gp33,SEA_DINA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619223,34,HWC43_gp34,SEA_DINA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619224,35,HWC43_gp35,SEA_DINA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2588501,55619225,36,HWC43_gp36,SEA_DINA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619226,37,HWC43_gp37,SEA_DINA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619227,38,HWC43_gp38,SEA_DINA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619228,39,HWC43_gp39,SEA_DINA_39,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2588501,55619229,16,HWC43_gp16,SEA_DINA_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2588501,55619230,7,HWC43_gp07,SEA_DINA_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619231,8,HWC43_gp08,SEA_DINA_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201217,-
2588501,55619232,9,HWC43_gp09,SEA_DINA_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200910,-
2588501,55619233,24,HWC43_gp24,SEA_DINA_24,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2588501,55619234,25,HWC43_gp25,SEA_DINA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2588501,55619235,40,HWC43_gp40,SEA_DINA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619236,41,HWC43_gp41,SEA_DINA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2588501,55619237,42,HWC43_gp42,SEA_DINA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2588501,55619238,43,HWC43_gp43,SEA_DINA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2588501,55619239,44,HWC43_gp44,SEA_DINA_44,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200912,-
2588501,55619240,45,HWC43_gp45,SEA_DINA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2588501,55619241,46,HWC43_gp46,SEA_DINA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619242,47,HWC43_gp47,SEA_DINA_47,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200912,-
2588501,55619243,48,HWC43_gp48,SEA_DINA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2588501,55619244,26,HWC43_gp26,SEA_DINA_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55619245,1,HWC43_gp01,SEA_DINA_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588501,55635970,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200817,-
