#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1429904,17777186,2,PBI_HANSHOTFIRST_2,-,-,-,-,HNH domain protein,protein-coding,-,-,-,HNH domain protein,20201221,-
1429904,17777187,3,PBI_HANSHOTFIRST_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777188,4,PBI_HANSHOTFIRST_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777189,5,PBI_HANSHOTFIRST_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777190,6,PBI_HANSHOTFIRST_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777191,7,PBI_HANSHOTFIRST_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777192,8,PBI_HANSHOTFIRST_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777193,9,PBI_HANSHOTFIRST_9,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1429904,17777194,10,PBI_HANSHOTFIRST_10,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1429904,17777195,11,PBI_HANSHOTFIRST_11,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
1429904,17777196,12,PBI_HANSHOTFIRST_12,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210406,-
1429904,17777197,13,PBI_HANSHOTFIRST_13,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1429904,17777198,14,PBI_HANSHOTFIRST_14,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1429904,17777199,15,PBI_HANSHOTFIRST_15,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1429904,17777200,16,PBI_HANSHOTFIRST_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777201,17,PBI_HANSHOTFIRST_17,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1429904,17777202,18,PBI_HANSHOTFIRST_18,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1429904,17777203,19,PBI_HANSHOTFIRST_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1429904,17777204,20,PBI_HANSHOTFIRST_20,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1429904,17777205,21,PBI_HANSHOTFIRST_21,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1429904,17777206,23,PBI_HANSHOTFIRST_23,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1429904,17777207,24,PBI_HANSHOTFIRST_24,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1429904,17777208,22,PBI_HANSHOTFIRST_22,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1429904,17777209,25,PBI_HANSHOTFIRST_25,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1429904,17777210,26,PBI_HANSHOTFIRST_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777211,27,PBI_HANSHOTFIRST_27,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1429904,17777212,28,PBI_HANSHOTFIRST_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777213,29,PBI_HANSHOTFIRST_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777214,30,PBI_HANSHOTFIRST_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1429904,17777215,31,PBI_HANSHOTFIRST_31,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1429904,17777216,32,PBI_HANSHOTFIRST_32,-,-,-,-,carboxypeptidase,protein-coding,-,-,-,carboxypeptidase,20201221,-
1429904,17777217,33,PBI_HANSHOTFIRST_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777218,34,PBI_HANSHOTFIRST_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777219,35,PBI_HANSHOTFIRST_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777220,36,PBI_HANSHOTFIRST_36,-,-,-,-,integrase (S-int),protein-coding,-,-,-,integrase (S-int),20201221,-
1429904,17777221,37,PBI_HANSHOTFIRST_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777222,38,PBI_HANSHOTFIRST_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777223,39,PBI_HANSHOTFIRST_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777224,40,PBI_HANSHOTFIRST_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777225,41,PBI_HANSHOTFIRST_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777226,42,PBI_HANSHOTFIRST_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777227,43,PBI_HANSHOTFIRST_43,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1429904,17777228,44,PBI_HANSHOTFIRST_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777229,45,PBI_HANSHOTFIRST_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777230,46,PBI_HANSHOTFIRST_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777231,47,PBI_HANSHOTFIRST_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777232,48,PBI_HANSHOTFIRST_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777233,49,PBI_HANSHOTFIRST_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777234,50,PBI_HANSHOTFIRST_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777235,51,PBI_HANSHOTFIRST_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777236,52,PBI_HANSHOTFIRST_52,-,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20201221,-
1429904,17777237,53,PBI_HANSHOTFIRST_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777238,54,PBI_HANSHOTFIRST_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777239,55,PBI_HANSHOTFIRST_55,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1429904,17777240,56,PBI_HANSHOTFIRST_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777241,57,PBI_HANSHOTFIRST_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429904,17777242,58,PBI_HANSHOTFIRST_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
