#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250427,62363428,2,JMN92_gp02,SEA_ROHR_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2250427,62363429,3,JMN92_gp03,SEA_ROHR_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363430,4,JMN92_gp04,SEA_ROHR_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363431,5,JMN92_gt01,SEA_ROHR_5,-,-,-,tRNA,tRNA,-,-,-,-,20210123,-
2250427,62363432,6,JMN92_gp92,SEA_ROHR_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363433,7,JMN92_gp91,SEA_ROHR_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363434,8,JMN92_gp90,SEA_ROHR_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363435,9,JMN92_gp89,SEA_ROHR_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363436,10,JMN92_gp88,SEA_ROHR_10,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210313,-
2250427,62363437,11,JMN92_gp87,SEA_ROHR_11,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210123,-
2250427,62363438,12,JMN92_gp86,SEA_ROHR_12,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2250427,62363439,13,JMN92_gp85,SEA_ROHR_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210406,-
2250427,62363440,14,JMN92_gp84,SEA_ROHR_14,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210123,-
2250427,62363441,15,JMN92_gp83,SEA_ROHR_15,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210123,-
2250427,62363442,16,JMN92_gp82,SEA_ROHR_16,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2250427,62363443,17,JMN92_gp81,SEA_ROHR_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363444,18,JMN92_gp80,SEA_ROHR_18,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210212,-
2250427,62363445,19,JMN92_gp79,SEA_ROHR_19,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210123,-
2250427,62363446,20,JMN92_gp78,SEA_ROHR_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2250427,62363447,21,JMN92_gp77,SEA_ROHR_21,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210123,-
2250427,62363448,22,JMN92_gp76,SEA_ROHR_22,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
2250427,62363449,24,JMN92_gp74,SEA_ROHR_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210417,-
2250427,62363450,25,JMN92_gp73,SEA_ROHR_25,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2250427,62363451,23,JMN92_gp75,SEA_ROHR_23,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210417,-
2250427,62363452,26,JMN92_gp72,SEA_ROHR_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2250427,62363453,27,JMN92_gp71,SEA_ROHR_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363454,28,JMN92_gp70,SEA_ROHR_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363455,29,JMN92_gp69,SEA_ROHR_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2250427,62363456,30,JMN92_gp68,SEA_ROHR_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363457,31,JMN92_gp67,SEA_ROHR_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363458,32,JMN92_gp66,SEA_ROHR_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2250427,62363459,33,JMN92_gp65,SEA_ROHR_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210406,-
2250427,62363460,34,JMN92_gp64,SEA_ROHR_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363461,35,JMN92_gp63,SEA_ROHR_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2250427,62363462,36,JMN92_gp62,SEA_ROHR_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
