#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2060091,54989096,HOS84_gp09,HOS84_gp09,RsoP1IDN_9,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20210403,-
2060091,54989097,HOS84_gp03,HOS84_gp03,RsoP1IDN_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2060091,54989098,HOS84_gp06,HOS84_gp06,RsoP1IDN_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2060091,54989099,HOS84_gp07,HOS84_gp07,RsoP1IDN_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2060091,54989100,HOS84_gp08,HOS84_gp08,RsoP1IDN_8,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20210403,-
2060091,54989101,HOS84_gp10,HOS84_gp10,RsoP1IDN_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2060091,54989102,HOS84_gp11,HOS84_gp11,RsoP1IDN_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2060091,54989103,HOS84_gp12,HOS84_gp12,RsoP1IDN_12,-,-,-,putative HNH homing endonuclease,protein-coding,-,-,-,putative HNH homing endonuclease,20210403,-
2060091,54989104,HOS84_gp14,HOS84_gp14,RsoP1IDN_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2060091,54989105,HOS84_gp15,HOS84_gp15,RsoP1IDN_15,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210403,-
2060091,54989106,HOS84_gp16,HOS84_gp16,RsoP1IDN_16,-,-,-,DNA endonuclease VII,protein-coding,-,-,-,DNA endonuclease VII,20210403,-
2060091,54989107,HOS84_gp17,HOS84_gp17,RsoP1IDN_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2060091,54989108,HOS84_gp18,HOS84_gp18,RsoP1IDN_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2060091,54989109,HOS84_gp19,HOS84_gp19,RsoP1IDN_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2060091,54989110,HOS84_gp20,HOS84_gp20,RsoP1IDN_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2060091,54989111,HOS84_gp21,HOS84_gp21,RsoP1IDN_21,-,-,-,ATP-dependent DNA ligase,protein-coding,-,-,-,ATP-dependent DNA ligase,20210403,-
2060091,54989112,HOS84_gp22,HOS84_gp22,RsoP1IDN_22,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20210403,-
