#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591057,56133124,H1N78_gp02,H1N78_gp02,JK16_00002,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210123,-
2591057,56133125,H1N78_gp03,H1N78_gp03,JK16_00003,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20201217,-
2591057,56133126,H1N78_gp04,H1N78_gp04,JK16_00004,-,-,-,VRR-NUC domain-containing protein,protein-coding,-,-,-,VRR-NUC domain-containing protein,20210123,-
2591057,56133127,H1N78_gp05,H1N78_gp05,JK16_00005,-,-,-,DNA N-6-adenine-methyltransferase,protein-coding,-,-,-,DNA N-6-adenine-methyltransferase,20210306,-
2591057,56133128,H1N78_gp06,H1N78_gp06,JK16_00006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133129,H1N78_gp07,H1N78_gp07,JK16_00007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133130,H1N78_gp08,H1N78_gp08,JK16_00008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133131,H1N78_gp09,H1N78_gp09,JK16_00009,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20200724,-
2591057,56133132,H1N78_gp10,H1N78_gp10,JK16_00010,-,-,-,holin,protein-coding,-,-,-,holin,20200724,-
2591057,56133133,H1N78_gp11,H1N78_gp11,JK16_00011,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201217,-
2591057,56133134,H1N78_gp12,H1N78_gp12,JK16_00012,-,-,-,RzlA,protein-coding,-,-,-,RzlA,20200724,-
2591057,56133135,H1N78_gp13,H1N78_gp13,JK16_00013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133136,H1N78_gp14,H1N78_gp14,JK16_00014,-,-,-,YdbL,protein-coding,-,-,-,YdbL,20200724,-
2591057,56133137,H1N78_gp15,H1N78_gp15,JK16_00015,-,-,-,YfiJ,protein-coding,-,-,-,YfiJ,20210123,-
2591057,56133138,H1N78_gp16,H1N78_gp16,JK16_00016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591057,56133139,H1N78_gp17,H1N78_gp17,JK16_00017,-,-,-,EndY,protein-coding,-,-,-,EndY,20210424,-
2591057,56133140,H1N78_gp18,H1N78_gp18,JK16_00018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133141,H1N78_gp19,H1N78_gp19,JK16_00019,-,-,-,Dcm,protein-coding,-,-,-,Dcm,20200724,-
2591057,56133142,H1N78_gp20,H1N78_gp20,JK16_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133143,H1N78_gp21,H1N78_gp21,JK16_00021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133144,H1N78_gp22,H1N78_gp22,JK16_00022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591057,56133145,H1N78_gp23,H1N78_gp23,JK16_00023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
