#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2653768,60334560,2,I5H95_gp002,SEA_TDANISKY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210212,-
2653768,60334561,3,I5H95_gp003,SEA_TDANISKY_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210212,-
2653768,60334562,4,I5H95_gp004,SEA_TDANISKY_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2653768,60334563,5,I5H95_gp005,SEA_TDANISKY_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2653768,60334564,6,I5H95_gp006,SEA_TDANISKY_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2653768,60334565,7,I5H95_gp007,SEA_TDANISKY_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2653768,60334566,8,I5H95_gp008,SEA_TDANISKY_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2653768,60334567,9,I5H95_gp009,SEA_TDANISKY_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2653768,60334568,10,I5H95_gp010,SEA_TDANISKY_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2653768,60334569,11,I5H95_gp011,SEA_TDANISKY_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2653768,60334570,13,I5H95_gp012,SEA_TDANISKY_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2653768,60334571,14,I5H95_gp014,SEA_TDANISKY_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2653768,60334572,12,I5H95_gp013,SEA_TDANISKY_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2653768,60334573,15,I5H95_gp015,SEA_TDANISKY_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2653768,60334574,16,I5H95_gp016,SEA_TDANISKY_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2653768,60334575,17,I5H95_gp017,SEA_TDANISKY_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334576,18,I5H95_gp018,SEA_TDANISKY_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2653768,60334577,19,I5H95_gp019,SEA_TDANISKY_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2653768,60334578,20,I5H95_gp020,SEA_TDANISKY_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2653768,60334579,21,I5H95_gp021,SEA_TDANISKY_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334580,22,I5H95_gp022,SEA_TDANISKY_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334581,23,I5H95_gp023,SEA_TDANISKY_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334582,24,I5H95_gp024,SEA_TDANISKY_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334583,25,I5H95_gp025,SEA_TDANISKY_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334584,26,I5H95_gp026,SEA_TDANISKY_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334585,27,I5H95_gp027,SEA_TDANISKY_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334586,28,I5H95_gp028,SEA_TDANISKY_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334587,29,I5H95_gp029,SEA_TDANISKY_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334588,30,I5H95_gp030,SEA_TDANISKY_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201217,-
2653768,60334589,31,I5H95_gp031,SEA_TDANISKY_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2653768,60334590,32,I5H95_gp032,SEA_TDANISKY_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2653768,60334591,33,I5H95_gp033,SEA_TDANISKY_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2653768,60334592,34,I5H95_gp034,SEA_TDANISKY_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334593,35,I5H95_gp035,SEA_TDANISKY_35,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210406,-
2653768,60334594,36,I5H95_gp036,SEA_TDANISKY_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334595,37,I5H95_gp037,SEA_TDANISKY_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334596,38,I5H95_gp038,SEA_TDANISKY_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334597,39,I5H95_gp039,SEA_TDANISKY_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334598,40,I5H95_gp040,SEA_TDANISKY_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334599,41,I5H95_gp041,SEA_TDANISKY_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334600,42,I5H95_gp042,SEA_TDANISKY_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334601,43,I5H95_gp043,SEA_TDANISKY_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2653768,60334602,44,I5H95_gp044,SEA_TDANISKY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334603,45,I5H95_gp045,SEA_TDANISKY_45,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210417,-
2653768,60334604,46,I5H95_gp046,SEA_TDANISKY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334605,47,I5H95_gp047,SEA_TDANISKY_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334606,48,I5H95_gp048,SEA_TDANISKY_48,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2653768,60334607,49,I5H95_gp049,SEA_TDANISKY_49,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210424,-
2653768,60334608,50,I5H95_gp050,SEA_TDANISKY_50,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210417,-
2653768,60334609,51,I5H95_gp051,SEA_TDANISKY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334610,52,I5H95_gp052,SEA_TDANISKY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334611,53,I5H95_gp053,SEA_TDANISKY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334612,54,I5H95_gp055,SEA_TDANISKY_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334613,55,I5H95_gp056,SEA_TDANISKY_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334614,56,I5H95_gp057,SEA_TDANISKY_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334615,57,I5H95_gp058,SEA_TDANISKY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334616,58,I5H95_gp059,SEA_TDANISKY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334617,59,I5H95_gp060,SEA_TDANISKY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334618,60,I5H95_gp061,SEA_TDANISKY_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334619,61,I5H95_gp062,SEA_TDANISKY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334620,62,I5H95_gp063,SEA_TDANISKY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653768,60334621,63,I5H95_gp064,SEA_TDANISKY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2653768,60334622,64,I5H95_gp065,SEA_TDANISKY_65,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2653768,60334623,65,I5H95_gp066,SEA_TDANISKY_66,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
