#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
29519,3293299,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Borrelia garinii; Borrelia genomic group 20047.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210405,-
29519,39513154,DB281_RS05960,DB281_RS05960,DB281_05955,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513155,DB281_RS06045,DB281_RS06045,DB281_06045,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513156,DB281_RS06040,DB281_RS06040,DB281_06040,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513157,DB281_RS06000,DB281_RS06000,DB281_05995,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513158,DB281_RS05965,DB281_RS05965,DB281_05960,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513159,DB281_RS06060,DB281_RS06060,DB281_06060,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513160,DB281_RS06055,DB281_RS06055,DB281_06055,-,-,-,complement regulator-acquiring protein,protein-coding,-,-,-,complement regulator-acquiring protein,20210423,-
29519,39513161,DB281_RS06030,DB281_RS06030,DB281_06025,-,-,-,chromosome replication/partitioning protein,protein-coding,-,-,-,chromosome replication/partitioning protein,20210423,-
29519,39513162,DB281_RS05985,DB281_RS05985,DB281_05980,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513164,DB281_RS05955,DB281_RS05955,DB281_05950,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513165,DB281_RS05930,DB281_RS05930,DB281_05925,-,-,-,OspD family protein,protein-coding,-,-,-,OspD family protein,20210423,-
29519,39513166,DB281_RS06035,DB281_RS06035,DB281_06030,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513167,DB281_RS05925,DB281_RS05925,DB281_05920,-,-,-,complement regulator-acquiring protein,protein-coding,-,-,-,complement regulator-acquiring protein,20210423,-
29519,39513168,DB281_RS06015,DB281_RS06015,DB281_06010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513169,DB281_RS05970,DB281_RS05970,DB281_05965,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513170,DB281_RS05980,DB281_RS05980,DB281_05975,-,-,-,BlyA family holin,protein-coding,-,-,-,BlyA family holin,20210422,-
29519,39513171,DB281_RS05935,DB281_RS05935,DB281_05930,-,-,-,DUF1322 family protein,protein-coding,-,-,-,DUF1322 family protein,20210423,-
29519,39513172,DB281_RS06005,DB281_RS06005,DB281_06000,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513173,DB281_RS05920,DB281_RS05920,DB281_05915,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513174,DB281_RS06065,DB281_RS06065,DB281_06065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513175,DB281_RS06010,DB281_RS06010,DB281_06005,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513176,DB281_RS05950,DB281_RS05950,DB281_05945,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513177,DB281_RS05975,DB281_RS05975,DB281_05970,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513178,DB281_RS06020,DB281_RS06020,DB281_06015,-,-,-,DUF226 domain-containing protein,protein-coding,-,-,-,DUF226 domain-containing protein,20210423,-
29519,39513179,DB281_RS05940,DB281_RS05940,DB281_05935,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513180,DB281_RS05915,DB281_RS05915,DB281_05910,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513181,DB281_RS05910,DB281_RS05910,DB281_05905,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513182,DB281_RS05995,DB281_RS05995,DB281_05990,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513183,DB281_RS06025,DB281_RS06025,DB281_06020,-,-,-,ParA family protein,protein-coding,-,-,-,ParA family protein,20210423,-
29519,39513184,DB281_RS05945,DB281_RS05945,DB281_05940,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513185,DB281_RS05990,DB281_RS05990,DB281_05985,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513186,DB281_RS05845,DB281_RS05845,DB281_05865,-,-,-,DUF226 domain-containing protein,protein-coding,-,-,-,DUF226 domain-containing protein,20210423,-
29519,39513187,DB281_RS05815,DB281_RS05815,DB281_05835,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513188,DB281_RS05795,DB281_RS05795,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513189,DB281_RS05840,DB281_RS05840,DB281_05860,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513190,DB281_RS05790,DB281_RS05790,DB281_05815,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513191,DB281_RS05825,DB281_RS05825,DB281_05845,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513193,DB281_RS05855,DB281_RS05855,DB281_05875,-,-,-,chromosome replication/partitioning protein,protein-coding,-,-,-,chromosome replication/partitioning protein,20210423,-
29519,39513195,DB281_RS05895,DB281_RS05895,DB281_05890,-,-,-,variable large family protein,protein-coding,-,-,-,variable large family protein,20210423,-
29519,39513197,DB281_RS05850,DB281_RS05850,DB281_05870,-,-,-,ParA family protein,protein-coding,-,-,-,ParA family protein,20210423,-
29519,39513202,DB281_RS05905,DB281_RS05905,DB281_05900,-,-,-,variable large family protein,protein-coding,-,-,-,variable large family protein,20210529,-
29519,39513203,DB281_RS05900,DB281_RS05900,DB281_05895,-,-,-,variable large family protein,protein-coding,-,-,-,variable large family protein,20210423,-
29519,39513205,DB281_RS05830,DB281_RS05830,DB281_05850,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513208,DB281_RS05785,DB281_RS05785,DB281_05810,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513210,DB281_RS05810,DB281_RS05810,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513211,DB281_RS05780,DB281_RS05780,DB281_05805,-,-,-,P52 family lipoprotein,protein-coding,-,-,-,P52 family lipoprotein,20210423,-
29519,39513212,DB281_RS05775,DB281_RS05775,DB281_05800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513214,eppA,DB281_RS05765,DB281_05790,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513215,DB281_RS05760,DB281_RS05760,DB281_05785,-,-,-,chromosome replication/partitioning protein,protein-coding,-,-,-,chromosome replication/partitioning protein,20210423,-
29519,39513216,DB281_RS05755,DB281_RS05755,DB281_05780,-,-,-,ParA family protein,protein-coding,-,-,-,ParA family protein,20210423,-
29519,39513217,DB281_RS05750,DB281_RS05750,DB281_05775,-,-,-,DUF226 domain-containing protein,protein-coding,-,-,-,DUF226 domain-containing protein,20210423,-
29519,39513218,DB281_RS05745,DB281_RS05745,DB281_05770,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513219,DB281_RS05740,DB281_RS05740,DB281_05765,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,39513220,DB281_RS05735,DB281_RS05735,DB281_05760,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513221,DB281_RS05730,DB281_RS05730,DB281_05755,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513222,DB281_RS05725,DB281_RS05725,DB281_05750,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513223,DB281_RS05720,DB281_RS05720,DB281_05745,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513224,DB281_RS05715,DB281_RS05715,DB281_05740,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513225,DB281_RS05710,DB281_RS05710,DB281_05735,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513226,DB281_RS05705,DB281_RS05705,DB281_05730,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,39513227,DB281_RS05700,DB281_RS05700,DB281_05725,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513228,DB281_RS05695,DB281_RS05695,DB281_05720,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,39513229,DB281_RS05690,DB281_RS05690,DB281_05715,-,-,-,DUF1073 domain-containing protein,protein-coding,-,-,-,DUF1073 domain-containing protein,20210423,-
29519,39513230,DB281_RS05685,DB281_RS05685,DB281_05710,-,-,-,PBSX family phage terminase large subunit,protein-coding,-,-,-,PBSX family phage terminase large subunit,20210423,-
