#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1150837,54344117,M421DRAFT_100004,M421DRAFT_100004,-,-,Unknown,-,3-ketoacyl-CoA thiolase B,protein-coding,-,-,-,3-ketoacyl-CoA thiolase B,20210320,-
1150837,54344118,M421DRAFT_100006,M421DRAFT_100006,-,-,Unknown,-,ATP-dependent rRNA helicase SPB4,protein-coding,-,-,-,ATP-dependent rRNA helicase SPB4,20210320,-
1150837,54344119,M421DRAFT_100013,M421DRAFT_100013,-,-,Unknown,-,60S ribosomal protein L8-B,protein-coding,-,-,-,60S ribosomal protein L8-B,20210320,-
1150837,54344120,M421DRAFT_100025,M421DRAFT_100025,-,-,Unknown,-,aquaporin,protein-coding,-,-,-,aquaporin,20210320,-
1150837,54344121,M421DRAFT_10004,M421DRAFT_10004,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344122,M421DRAFT_100048,M421DRAFT_100048,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210320,-
1150837,54344123,M421DRAFT_100056,M421DRAFT_100056,-,-,Unknown,-,SET domain-containing protein,protein-coding,-,-,-,SET domain-containing protein,20210320,-
1150837,54344124,M421DRAFT_100073,M421DRAFT_100073,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344125,M421DRAFT_100080,M421DRAFT_100080,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20210320,-
1150837,54344126,M421DRAFT_100082,M421DRAFT_100082,-,-,Unknown,-,TBP-domain-containing protein,protein-coding,-,-,-,TBP-domain-containing protein,20210320,-
1150837,54344127,M421DRAFT_100090,M421DRAFT_100090,-,-,Unknown,-,carbohydrate-binding module family 20 protein,protein-coding,-,-,-,carbohydrate-binding module family 20 protein,20210320,-
1150837,54344128,M421DRAFT_100100,M421DRAFT_100100,-,-,Unknown,-,heat shock protein Hsp88,protein-coding,-,-,-,heat shock protein Hsp88,20210320,-
1150837,54344129,M421DRAFT_100116,M421DRAFT_100116,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344130,M421DRAFT_100120,M421DRAFT_100120,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20210320,-
1150837,54344131,M421DRAFT_100147,M421DRAFT_100147,-,-,Unknown,-,DnaJ-domain-containing protein,protein-coding,-,-,-,DnaJ-domain-containing protein,20210320,-
1150837,54344132,M421DRAFT_100154,M421DRAFT_100154,-,-,Unknown,-,lytic polysaccharide monooxygenase,protein-coding,-,-,-,lytic polysaccharide monooxygenase,20210320,-
1150837,54344133,M421DRAFT_10016,M421DRAFT_10016,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344134,M421DRAFT_100169,M421DRAFT_100169,-,-,Unknown,-,cysteine proteinase,protein-coding,-,-,-,cysteine proteinase,20210320,-
1150837,54344135,M421DRAFT_100178,M421DRAFT_100178,-,-,Unknown,-,adenylate kinase isoenzyme 1,protein-coding,-,-,-,adenylate kinase isoenzyme 1,20210320,-
1150837,54344136,M421DRAFT_100207,M421DRAFT_100207,-,-,Unknown,-,Trm112p-domain-containing protein,protein-coding,-,-,-,Trm112p-domain-containing protein,20210320,-
1150837,54344137,M421DRAFT_100220,M421DRAFT_100220,-,-,Unknown,-,benzoate 4-monooxygenase cytochrome P450,protein-coding,-,-,-,benzoate 4-monooxygenase cytochrome P450,20210320,-
1150837,54344138,M421DRAFT_100239,M421DRAFT_100239,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344139,M421DRAFT_100241,M421DRAFT_100241,-,-,Unknown,-,geranylgeranyl transferase type I beta subunit,protein-coding,-,-,-,geranylgeranyl transferase type I beta subunit,20210320,-
1150837,54344140,M421DRAFT_100245,M421DRAFT_100245,-,-,Unknown,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20210320,-
1150837,54344141,M421DRAFT_100250,M421DRAFT_100250,-,-,Unknown,-,dipeptidase 1 precursor,protein-coding,-,-,-,dipeptidase 1 precursor,20210320,-
1150837,54344142,M421DRAFT_100253,M421DRAFT_100253,-,-,Unknown,-,protein prenylyltransferase,protein-coding,-,-,-,protein prenylyltransferase,20210320,-
1150837,54344143,M421DRAFT_100284,M421DRAFT_100284,-,-,Unknown,-,glycosyltransferase family 2 protein,protein-coding,-,-,-,glycosyltransferase family 2 protein,20210320,-
1150837,54344144,M421DRAFT_100291,M421DRAFT_100291,-,-,Unknown,-,cell division control protein Cdc6,protein-coding,-,-,-,cell division control protein Cdc6,20210320,-
1150837,54344145,M421DRAFT_100293,M421DRAFT_100293,-,-,Unknown,-,"protein mmf2, mitochondrial precursor",protein-coding,-,-,-,"protein mmf2, mitochondrial precursor",20210320,-
1150837,54344146,M421DRAFT_100298,M421DRAFT_100298,-,-,Unknown,-,pathogenicity protein LopB,protein-coding,-,-,-,pathogenicity protein LopB,20210320,-
1150837,54344147,M421DRAFT_100312,M421DRAFT_100312,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344148,M421DRAFT_100320,M421DRAFT_100320,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344149,M421DRAFT_100337,M421DRAFT_100337,-,-,Unknown,-,protein transport protein YIF1,protein-coding,-,-,-,protein transport protein YIF1,20210320,-
1150837,54344150,M421DRAFT_100360,M421DRAFT_100360,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344151,M421DRAFT_100364,M421DRAFT_100364,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344152,M421DRAFT_100378,M421DRAFT_100378,-,-,Unknown,-,WD40 repeat-like protein,protein-coding,-,-,-,WD40 repeat-like protein,20210320,-
1150837,54344153,M421DRAFT_100380,M421DRAFT_100380,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344154,M421DRAFT_10039,M421DRAFT_10039,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344155,M421DRAFT_100396,M421DRAFT_100396,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344156,M421DRAFT_100408,M421DRAFT_100408,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344157,M421DRAFT_100409,M421DRAFT_100409,-,-,Unknown,-,TPR-like protein,protein-coding,-,-,-,TPR-like protein,20210320,-
1150837,54344158,M421DRAFT_100411,M421DRAFT_100411,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344159,M421DRAFT_100419,M421DRAFT_100419,-,-,Unknown,-,"ATP synthase D chain, mitochondrial",protein-coding,-,-,-,"ATP synthase D chain, mitochondrial",20210320,-
1150837,54344160,M421DRAFT_100431,M421DRAFT_100431,-,-,Unknown,-,Pkinase-domain-containing protein,protein-coding,-,-,-,Pkinase-domain-containing protein,20210320,-
1150837,54344161,M421DRAFT_100432,M421DRAFT_100432,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344162,M421DRAFT_100435,M421DRAFT_100435,-,-,Unknown,-,Aldedh-domain-containing protein,protein-coding,-,-,-,Aldedh-domain-containing protein,20210320,-
1150837,54344163,M421DRAFT_100436,M421DRAFT_100436,-,-,Unknown,-,glutamine synthetase/guanido kinase,protein-coding,-,-,-,glutamine synthetase/guanido kinase,20210320,-
1150837,54344164,M421DRAFT_100444,M421DRAFT_100444,-,-,Unknown,-,tetraspanin,protein-coding,-,-,-,tetraspanin,20210320,-
1150837,54344165,M421DRAFT_100445,M421DRAFT_100445,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344166,M421DRAFT_100449,M421DRAFT_100449,-,-,Unknown,-,acyl-CoA N-acyltransferase,protein-coding,-,-,-,acyl-CoA N-acyltransferase,20210320,-
1150837,54344167,M421DRAFT_100455,M421DRAFT_100455,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344168,M421DRAFT_100460,M421DRAFT_100460,-,-,Unknown,-,polyamine transporter,protein-coding,-,-,-,polyamine transporter,20210320,-
1150837,54344169,M421DRAFT_100462,M421DRAFT_100462,-,-,Unknown,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210320,-
1150837,54344170,M421DRAFT_100469,M421DRAFT_100469,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20210320,-
1150837,54344171,M421DRAFT_100470,M421DRAFT_100470,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344172,M421DRAFT_100474,M421DRAFT_100474,-,-,Unknown,-,HET-domain-containing protein,protein-coding,-,-,-,HET-domain-containing protein,20210320,-
1150837,54344173,M421DRAFT_100479,M421DRAFT_100479,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344174,M421DRAFT_100483,M421DRAFT_100483,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344175,M421DRAFT_100484,M421DRAFT_100484,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344176,M421DRAFT_100487,M421DRAFT_100487,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344177,M421DRAFT_10049,M421DRAFT_10049,-,-,Unknown,-,glycoside hydrolase family 28 protein,protein-coding,-,-,-,glycoside hydrolase family 28 protein,20210320,-
1150837,54344178,M421DRAFT_100498,M421DRAFT_100498,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344179,M421DRAFT_100499,M421DRAFT_100499,-,-,Unknown,-,SPO22-domain-containing protein,protein-coding,-,-,-,SPO22-domain-containing protein,20210320,-
1150837,54344180,M421DRAFT_10050,M421DRAFT_10050,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344181,M421DRAFT_100502,M421DRAFT_100502,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344182,M421DRAFT_10054,M421DRAFT_10054,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344183,M421DRAFT_100553,M421DRAFT_100553,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344184,M421DRAFT_100555,M421DRAFT_100555,-,-,Unknown,-,glycoside hydrolase family 5 protein,protein-coding,-,-,-,glycoside hydrolase family 5 protein,20210320,-
1150837,54344185,M421DRAFT_100559,M421DRAFT_100559,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344186,M421DRAFT_100563,M421DRAFT_100563,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344187,M421DRAFT_100583,M421DRAFT_100583,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344188,M421DRAFT_100593,M421DRAFT_100593,-,-,Unknown,-,AAA-domain-containing protein,protein-coding,-,-,-,AAA-domain-containing protein,20210320,-
1150837,54344189,M421DRAFT_100595,M421DRAFT_100595,-,-,Unknown,-,nicotinate-nucleotide diphosphorylase,protein-coding,-,-,-,nicotinate-nucleotide diphosphorylase,20210320,-
1150837,54344190,M421DRAFT_100599,M421DRAFT_100599,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344191,M421DRAFT_100601,M421DRAFT_100601,-,-,Unknown,-,Sm-like ribonucleo protein,protein-coding,-,-,-,Sm-like ribonucleo protein,20210320,-
1150837,54344192,M421DRAFT_100623,M421DRAFT_100623,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210320,-
1150837,54344193,M421DRAFT_100627,M421DRAFT_100627,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344194,M421DRAFT_100642,M421DRAFT_100642,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344195,M421DRAFT_100651,M421DRAFT_100651,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344196,M421DRAFT_100658,M421DRAFT_100658,-,-,Unknown,-,Sec34-domain-containing protein,protein-coding,-,-,-,Sec34-domain-containing protein,20210320,-
1150837,54344197,M421DRAFT_100677,M421DRAFT_100677,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344198,M421DRAFT_100697,M421DRAFT_100697,-,-,Unknown,-,ATP-dependent RNA helicase DHH1,protein-coding,-,-,-,ATP-dependent RNA helicase DHH1,20210320,-
1150837,54344199,M421DRAFT_100706,M421DRAFT_100706,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344200,M421DRAFT_100712,M421DRAFT_100712,-,-,Unknown,-,CRAL/TRIO domain-containing protein,protein-coding,-,-,-,CRAL/TRIO domain-containing protein,20210320,-
1150837,54344201,M421DRAFT_100723,M421DRAFT_100723,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344202,M421DRAFT_100729,M421DRAFT_100729,-,-,Unknown,-,high affinity glucose transporter RGT2,protein-coding,-,-,-,high affinity glucose transporter RGT2,20210320,-
1150837,54344203,M421DRAFT_100731,M421DRAFT_100731,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344204,M421DRAFT_100744,M421DRAFT_100744,-,-,Unknown,-,eukaryotic translation initiation factor SUI1,protein-coding,-,-,-,eukaryotic translation initiation factor SUI1,20210320,-
1150837,54344205,M421DRAFT_100747,M421DRAFT_100747,-,-,Unknown,-,hexokinase,protein-coding,-,-,-,hexokinase,20210320,-
1150837,54344206,M421DRAFT_100751,M421DRAFT_100751,-,-,Unknown,-,TBCC-domain-containing protein,protein-coding,-,-,-,TBCC-domain-containing protein,20210320,-
1150837,54344207,M421DRAFT_100754,M421DRAFT_100754,-,-,Unknown,-,RdRP-domain-containing protein,protein-coding,-,-,-,RdRP-domain-containing protein,20210320,-
1150837,54344208,M421DRAFT_100770,M421DRAFT_100770,-,-,Unknown,-,UNC-50 family protein,protein-coding,-,-,-,UNC-50 family protein,20210320,-
1150837,54344209,M421DRAFT_100778,M421DRAFT_100778,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210320,-
1150837,54344210,M421DRAFT_100781,M421DRAFT_100781,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344211,M421DRAFT_100790,M421DRAFT_100790,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20210320,-
1150837,54344212,M421DRAFT_100794,M421DRAFT_100794,-,-,Unknown,-,fructosyl-amino acid oxidase,protein-coding,-,-,-,fructosyl-amino acid oxidase,20210320,-
1150837,54344213,M421DRAFT_1008,M421DRAFT_1008,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344214,M421DRAFT_100802,M421DRAFT_100802,-,-,Unknown,-,ribosomal protein S1,protein-coding,-,-,-,ribosomal protein S1,20210123,-
1150837,54344215,M421DRAFT_100810,M421DRAFT_100810,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344216,M421DRAFT_100827,M421DRAFT_100827,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344217,M421DRAFT_100838,M421DRAFT_100838,-,-,Unknown,-,Rtt106-domain-containing protein,protein-coding,-,-,-,Rtt106-domain-containing protein,20210320,-
1150837,54344218,M421DRAFT_10084,M421DRAFT_10084,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344219,M421DRAFT_100856,M421DRAFT_100856,-,-,Unknown,-,PP2C-domain-containing protein,protein-coding,-,-,-,PP2C-domain-containing protein,20210320,-
1150837,54344220,M421DRAFT_100865,M421DRAFT_100865,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344221,M421DRAFT_100879,M421DRAFT_100879,-,-,Unknown,-,class II peroxidase,protein-coding,-,-,-,class II peroxidase,20210320,-
1150837,54344222,M421DRAFT_10088,M421DRAFT_10088,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344223,M421DRAFT_100880,M421DRAFT_100880,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344224,M421DRAFT_100903,M421DRAFT_100903,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344225,M421DRAFT_100930,M421DRAFT_100930,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344226,M421DRAFT_100936,M421DRAFT_100936,-,-,Unknown,-,asparagine synthetase,protein-coding,-,-,-,asparagine synthetase,20210320,-
1150837,54344227,M421DRAFT_100968,M421DRAFT_100968,-,-,Unknown,-,ARM repeat-containing protein,protein-coding,-,-,-,ARM repeat-containing protein,20210320,-
1150837,54344228,M421DRAFT_100970,M421DRAFT_100970,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344229,M421DRAFT_100971,M421DRAFT_100971,-,-,Unknown,-,glycosyltransferase family 4 protein,protein-coding,-,-,-,glycosyltransferase family 4 protein,20210320,-
1150837,54344230,M421DRAFT_100973,M421DRAFT_100973,-,-,Unknown,-,serine/threonine-protein kinase Chk1,protein-coding,-,-,-,serine/threonine-protein kinase Chk1,20210320,-
1150837,54344231,M421DRAFT_100978,M421DRAFT_100978,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344232,M421DRAFT_100984,M421DRAFT_100984,-,-,Unknown,-,DUF1977-domain-containing protein,protein-coding,-,-,-,DUF1977-domain-containing protein,20210320,-
1150837,54344233,M421DRAFT_100990,M421DRAFT_100990,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344234,M421DRAFT_101010,M421DRAFT_101010,-,-,Unknown,-,MSF1-domain-containing protein,protein-coding,-,-,-,MSF1-domain-containing protein,20210320,-
1150837,54344235,M421DRAFT_10102,M421DRAFT_10102,-,-,Unknown,-,Na(+)/H(+) antiporter 2,protein-coding,-,-,-,Na(+)/H(+) antiporter 2,20210320,-
1150837,54344236,M421DRAFT_101024,M421DRAFT_101024,-,-,Unknown,-,DnaJ-domain-containing protein,protein-coding,-,-,-,DnaJ-domain-containing protein,20210320,-
1150837,54344237,M421DRAFT_101032,M421DRAFT_101032,-,-,Unknown,-,Rh-like protein/ammonium transporter,protein-coding,-,-,-,Rh-like protein/ammonium transporter,20210320,-
1150837,54344238,M421DRAFT_101035,M421DRAFT_101035,-,-,Unknown,-,Metallo-hydrolase/oxidoreductase,protein-coding,-,-,-,Metallo-hydrolase/oxidoreductase,20210320,-
1150837,54344239,M421DRAFT_101040,M421DRAFT_101040,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344240,M421DRAFT_101043,M421DRAFT_101043,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344241,M421DRAFT_101050,M421DRAFT_101050,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344242,M421DRAFT_101069,M421DRAFT_101069,-,-,Unknown,-,glutamyl-tRNA synthetase,protein-coding,-,-,-,glutamyl-tRNA synthetase,20210320,-
1150837,54344243,M421DRAFT_101071,M421DRAFT_101071,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344244,M421DRAFT_10108,M421DRAFT_10108,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210320,-
1150837,54344245,M421DRAFT_101080,M421DRAFT_101080,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344246,M421DRAFT_101082,M421DRAFT_101082,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344247,M421DRAFT_101085,M421DRAFT_101085,-,-,Unknown,-,UPF0029-domain-containing protein,protein-coding,-,-,-,UPF0029-domain-containing protein,20210320,-
1150837,54344248,M421DRAFT_101087,M421DRAFT_101087,-,-,Unknown,-,Vps54-domain-containing protein,protein-coding,-,-,-,Vps54-domain-containing protein,20210320,-
1150837,54344249,M421DRAFT_101100,M421DRAFT_101100,-,-,Unknown,-,phosphatase 2C family protein,protein-coding,-,-,-,phosphatase 2C family protein,20210320,-
1150837,54344250,M421DRAFT_101107,M421DRAFT_101107,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210320,-
1150837,54344251,M421DRAFT_101136,M421DRAFT_101136,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1150837,54344252,M421DRAFT_101146,M421DRAFT_101146,-,-,Unknown,-,LCCL domain-containing protein,protein-coding,-,-,-,LCCL domain-containing protein,20210320,-
1150837,54344253,M421DRAFT_101153,M421DRAFT_101153,-,-,Unknown,-,NADH pyrophosphatase,protein-coding,-,-,-,NADH pyrophosphatase,20210320,-
1150837,54344254,M421DRAFT_101161,M421DRAFT_101161,-,-,Unknown,-,glycoside hydrolase family 7 protein,protein-coding,-,-,-,glycoside hydrolase family 7 protein,20210320,-
1150837,54344255,M421DRAFT_101164,M421DRAFT_101164,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20210320,-
1150837,54344256,M421DRAFT_101169,M421DRAFT_101169,-,-,Unknown,-,asparaginase-domain-containing protein,protein-coding,-,-,-,asparaginase-domain-containing protein,20210320,-
1150837,54344257,M421DRAFT_101171,M421DRAFT_101171,-,-,Unknown,-,signal peptidase 22 kDa subunit,protein-coding,-,-,-,signal peptidase 22 kDa subunit,20210320,-
1150837,54344258,M421DRAFT_101204,M421DRAFT_101204,-,-,Unknown,-,F-box domain-containing protein,protein-coding,-,-,-,F-box domain-containing protein,20210320,-
1150837,54344259,M421DRAFT_101206,M421DRAFT_101206,-,-,Unknown,-,glycosyltransferase family 71 protein,protein-coding,-,-,-,glycosyltransferase family 71 protein,20210320,-
1150837,54344260,M421DRAFT_101213,M421DRAFT_101213,-,-,Unknown,-,ubiquitin carboxyl-terminal hydrolase 21,protein-coding,-,-,-,ubiquitin carboxyl-terminal hydrolase 21,20210320,-
1150837,54344261,M421DRAFT_101228,M421DRAFT_101228,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344262,M421DRAFT_101235,M421DRAFT_101235,-,-,Unknown,-,H/ACA ribonucleo protein complex subunit 3,protein-coding,-,-,-,H/ACA ribonucleo protein complex subunit 3,20210320,-
1150837,54344263,M421DRAFT_101241,M421DRAFT_101241,-,-,Unknown,-,Ribokinase-like protein,protein-coding,-,-,-,Ribokinase-like protein,20210320,-
1150837,54344264,M421DRAFT_101267,M421DRAFT_101267,-,-,Unknown,-,thiamine pyrophosphokinase,protein-coding,-,-,-,thiamine pyrophosphokinase,20210320,-
1150837,54344265,M421DRAFT_101276,M421DRAFT_101276,-,-,Unknown,-,class I glutamine amidotransferase-like protein,protein-coding,-,-,-,class I glutamine amidotransferase-like protein,20210320,-
1150837,54344266,M421DRAFT_101285,M421DRAFT_101285,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1150837,54344267,M421DRAFT_101288,M421DRAFT_101288,-,-,Unknown,-,LCM-domain-containing protein,protein-coding,-,-,-,LCM-domain-containing protein,20210320,-
1150837,54344268,M421DRAFT_101300,M421DRAFT_101300,-,-,Unknown,-,MATE efflux family protein,protein-coding,-,-,-,MATE efflux family protein,20210320,-
1150837,54344269,M421DRAFT_101303,M421DRAFT_101303,-,-,Unknown,-,putative isomerase YbhE,protein-coding,-,-,-,putative isomerase YbhE,20210320,-
