#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1476390,19686701,ORF02,HL17_gp02,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1476390,19686702,ORF03,HL17_gp03,-,-,-,-,Rz,protein-coding,-,-,-,Rz,20201221,-
1476390,19686703,ORF04,HL17_gp04,-,-,-,-,Rz1,protein-coding,-,-,-,Rz1,20201221,-
1476390,19686704,ORF05,HL17_gp05,-,-,-,-,possible small terminase subunit,protein-coding,-,-,-,possible small terminase subunit,20201221,-
1476390,19686705,ORF06,HL17_gp06,-,-,-,-,large terminase subunit,protein-coding,-,-,-,large terminase subunit,20201221,-
1476390,19686706,ORF07,HL17_gp07,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1476390,19686707,ORF08,HL17_gp08,-,-,-,-,F-like head morphogenesis protein,protein-coding,-,-,-,F-like head morphogenesis protein,20201221,-
1476390,19686708,ORF09,HL17_gp09,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1476390,19686709,ORF10,HL17_gp10,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1476390,19686710,ORF11,HL17_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476390,19686711,ORF12,HL17_gp12,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20201221,-
1476390,19686712,ORF13,HL17_gp13,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20201221,-
1476390,19686713,ORF14,HL17_gp14,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20201221,-
1476390,19686714,ORF15,HL17_gp15,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20201221,-
1476390,19686715,ORF16,HL17_gp16,-,-,-,-,major tail tube protein,protein-coding,-,-,-,major tail tube protein,20201221,-
1476390,19686716,ORF17,HL17_gp17,-,-,-,-,tail chaperonin,protein-coding,-,-,-,tail chaperonin,20201221,-
1476390,19686717,ORF18,HL17_gp18,-,-,-,-,tail chaperonin,protein-coding,-,-,-,tail chaperonin,20201221,-
1476390,19686718,ORF19,HL17_gp19,-,-,-,-,putative tail completion protein,protein-coding,-,-,-,putative tail completion protein,20201221,-
1476390,19686719,ORF20,HL17_gp20,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1476390,19686720,ORF21,HL17_gp21,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20201221,-
1476390,19686721,ORF22,HL17_gp22,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20201221,-
1476390,19686722,ORF23,HL17_gp23,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20201221,-
1476390,19686723,ORF24,HL17_gp24,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20210116,-
1476390,19686724,ORF25,HL17_gp25,-,-,-,-,central tail hub,protein-coding,-,-,-,central tail hub,20201221,-
1476390,19686725,ORF26,HL17_gp26,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1476390,19686726,ORF27,HL17_gp27,-,-,-,-,replicative clamp,protein-coding,-,-,-,replicative clamp,20201221,-
1476390,19686727,ORF28,HL17_gp28,-,-,-,-,DEAD box helicase,protein-coding,-,-,-,DEAD box helicase,20201221,-
1476390,19686728,ORF29,HL17_gp29,-,-,-,-,RecB exonuclease,protein-coding,-,-,-,RecB exonuclease,20201221,-
1476390,19686729,ORF30,HL17_gp30,-,-,-,-,member of DUF669 phage protein family,protein-coding,-,-,-,member of DUF669 phage protein family,20201221,-
1476390,19686730,ORF31,HL17_gp31,-,-,-,-,RecA,protein-coding,-,-,-,RecA,20210116,-
1476390,19686731,ORF32,HL17_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476390,19686732,ORF33,HL17_gp33,-,-,-,-,MazG,protein-coding,-,-,-,MazG,20201221,-
1476390,19686733,ORF34,HL17_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
