#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1555238,24721999,ACQ43_gp002,ACQ43_gp002,VpaE1_002,-,-,-,rIIB,protein-coding,-,-,-,rIIB,20200910,-
1555238,24722000,ACQ43_gp004,ACQ43_gp004,VpaE1_004,-,-,-,putative PseT polynucleotide 5'-kinase/3'-phosphatase,protein-coding,-,-,-,putative PseT polynucleotide 5'-kinase/3'-phosphatase,20200910,-
1555238,24722001,ACQ43_gp005,ACQ43_gp005,VpaE1_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722002,ACQ43_gp006,ACQ43_gp006,VpaE1_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722003,ACQ43_gp003,ACQ43_gp003,VpaE1_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722004,ACQ43_gp007,ACQ43_gp007,VpaE1_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722005,ACQ43_gp008,ACQ43_gp008,VpaE1_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722006,ACQ43_gp009,ACQ43_gp009,VpaE1_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722007,ACQ43_gp010,ACQ43_gp010,VpaE1_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722008,ACQ43_gp011,ACQ43_gp011,VpaE1_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722009,ACQ43_gp012,ACQ43_gp012,VpaE1_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1555238,24722010,ACQ43_gp013,ACQ43_gp013,VpaE1_013,-,-,-,putative phosphatase,protein-coding,-,-,-,putative phosphatase,20200910,-
