#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1285382,40102548,FDJ58_gp002,FDJ58_gp002,SIOphi_00010,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20200629,-
1285382,40102549,FDJ58_gp003,FDJ58_gp003,SIOphi_00015,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200629,-
1285382,40102550,FDJ58_gp004,FDJ58_gp004,SIOphi_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102551,FDJ58_gp005,FDJ58_gp005,SIOphi_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102552,FDJ58_gp006,FDJ58_gp006,SIOphi_00030,-,-,-,peptidoglycan-binding protein,protein-coding,-,-,-,peptidoglycan-binding protein,20200629,-
1285382,40102553,FDJ58_gp007,FDJ58_gp007,SIOphi_00035,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200629,-
1285382,40102554,FDJ58_gp008,FDJ58_gp008,SIOphi_00040,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200629,-
1285382,40102555,FDJ58_gp009,FDJ58_gp009,SIOphi_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102556,FDJ58_gp010,FDJ58_gp010,SIOphi_00050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102557,FDJ58_gp011,FDJ58_gp011,SIOphi_00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102558,FDJ58_gp012,FDJ58_gp012,SIOphi_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102559,FDJ58_gp013,FDJ58_gp013,SIOphi_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102560,FDJ58_gp014,FDJ58_gp014,SIOphi_00070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102561,FDJ58_gp015,FDJ58_gp015,SIOphi_00075,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1285382,40102562,FDJ58_gp016,FDJ58_gp016,SIOphi_00080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102563,FDJ58_gp017,FDJ58_gp017,SIOphi_00085,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20200629,-
1285382,40102564,FDJ58_gp018,FDJ58_gp018,SIOphi_00090,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1285382,40102565,FDJ58_gp019,FDJ58_gp019,SIOphi_00095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102566,FDJ58_gp020,FDJ58_gp020,SIOphi_00100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102567,FDJ58_gp021,FDJ58_gp021,SIOphi_00105,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1285382,40102568,FDJ58_gp022,FDJ58_gp022,SIOphi_00110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102569,FDJ58_gp023,FDJ58_gp023,SIOphi_00115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102570,FDJ58_gp024,FDJ58_gp024,SIOphi_00120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102571,FDJ58_gp025,FDJ58_gp025,SIOphi_00125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102572,FDJ58_gp026,FDJ58_gp026,SIOphi_00130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102573,FDJ58_gp027,FDJ58_gp027,SIOphi_00135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102574,FDJ58_gp028,FDJ58_gp028,SIOphi_00140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102575,FDJ58_gp029,FDJ58_gp029,SIOphi_00145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102576,FDJ58_gp030,FDJ58_gp030,SIOphi_00150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102577,FDJ58_gp031,FDJ58_gp031,SIOphi_00155,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1285382,40102578,FDJ58_gp032,FDJ58_gp032,SIOphi_00160,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1285382,40102579,FDJ58_gp033,FDJ58_gp033,SIOphi_00165,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1285382,40102580,FDJ58_gp034,FDJ58_gp034,SIOphi_00170,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1285382,40102581,FDJ58_gp035,FDJ58_gp035,SIOphi_00175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102582,FDJ58_gp036,FDJ58_gp036,SIOphi_00180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102583,FDJ58_gp037,FDJ58_gp037,SIOphi_00185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1285382,40102584,FDJ58_gp038,FDJ58_gp038,SIOphi_00190,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20200629,-
1285382,40102585,FDJ58_gp039,FDJ58_gp039,SIOphi_00195,-,-,-,PhoH family protein,protein-coding,-,-,-,PhoH family protein,20200629,-
1285382,40102586,FDJ58_gp040,FDJ58_gp040,SIOphi_00200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
