#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1815972,29126631,2,BJD71_gp02,SEA_ARCHERNM_2,-,-,-,VIP2-like toxin,protein-coding,-,-,-,VIP2-like toxin,20200927,-
1815972,29126632,3,BJD71_gp03,SEA_ARCHERNM_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126633,4,BJD71_gp04,SEA_ARCHERNM_4,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1815972,29126634,5,BJD71_gp05,SEA_ARCHERNM_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126635,6,BJD71_gp06,SEA_ARCHERNM_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126636,7,BJD71_gp07,SEA_ARCHERNM_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126637,8,BJD71_gp08,SEA_ARCHERNM_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126638,9,BJD71_gp09,SEA_ARCHERNM_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126639,10,BJD71_gp10,SEA_ARCHERNM_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815972,29126640,11,BJD71_gp11,SEA_ARCHERNM_11,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1815972,29126641,12,BJD71_gp12,SEA_ARCHERNM_12,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1815972,29126642,13,BJD71_gp13,SEA_ARCHERNM_13,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1815972,29126643,14,BJD71_gp14,SEA_ARCHERNM_14,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1815972,29126644,15,BJD71_gp15,SEA_ARCHERNM_15,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1815972,29126645,16,BJD71_gp16,SEA_ARCHERNM_16,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1815972,29126646,17,BJD71_gp17,SEA_ARCHERNM_17,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1815972,29126647,18,BJD71_gp18,SEA_ARCHERNM_18,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1815972,29126648,19,BJD71_gp19,SEA_ARCHERNM_19,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20200927,-
1815972,29126649,20,BJD71_gp20,SEA_ARCHERNM_20,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1815972,29126650,21,BJD71_gp21,SEA_ARCHERNM_21,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20200927,-
1815972,29126651,22,BJD71_gp22,SEA_ARCHERNM_22,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1815972,29126652,23,BJD71_gp23,SEA_ARCHERNM_23,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20200927,-
1815972,29126653,24,BJD71_gp24,SEA_ARCHERNM_24,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200927,-
