#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
444859,10327389,gp33,SSM1_240,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20200909,-
444859,10327390,SSM1_239,SSM1_239,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200909,-
444859,10327391,phoH,SSM1_238,-,-,-,-,P-starvation inducible protein,protein-coding,-,-,-,P-starvation inducible protein,20200909,-
444859,10327392,SSM1_237,SSM1_237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327393,td,SSM1_236,-,-,-,-,Td thymidylate synthetase,protein-coding,-,-,-,Td thymidylate synthetase,20200909,-
444859,10327394,SSM1_235,SSM1_235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327395,SSM1_234,SSM1_234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327396,SSM1_233,SSM1_233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327397,SSM1_232,SSM1_232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327398,SSM1_231,SSM1_231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327399,nrdC,SSM1_230,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200909,-
444859,10327400,SSM1_228,SSM1_228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327401,SSM1_227,SSM1_227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327402,SSM1_226,SSM1_226,-,-,-,-,PA14 domain-containing protein,protein-coding,-,-,-,PA14 domain-containing protein,20200909,-
444859,10327403,SSM1_225,SSM1_225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327404,psbD,SSM1_224,-,-,-,-,photosystem II D2 protein,protein-coding,-,-,-,photosystem II D2 protein,20200909,-
444859,10327405,SSM1_223,SSM1_223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327406,psbA,SSM1_222,-,-,-,-,photosystem II D1 protein,protein-coding,-,-,-,photosystem II D1 protein,20200909,-
444859,10327407,SSM1_221,SSM1_221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327408,SSM1_220,SSM1_220,-,-,-,-,peptidase domain-containing protein,protein-coding,-,-,-,peptidase domain-containing protein,20200909,-
444859,10327409,SSM1_219,SSM1_219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327410,SSM1_218,SSM1_218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327411,SSM1_217,SSM1_217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327412,hli03,SSM1_216,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20200909,-
444859,10327413,hli03,SSM1_215,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20200909,-
444859,10327414,SSM1_214,SSM1_214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327415,SSM1_213,SSM1_213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327416,SSM1_212,SSM1_212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327417,gp59,SSM1_001,-,-,-,-,loader of gp41 DNA helicase,protein-coding,-,-,-,loader of gp41 DNA helicase,20200909,-
444859,10327418,SSM1_210,SSM1_210,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
444859,10327419,SSM1_209,SSM1_209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327420,SSM1_208,SSM1_208,-,-,-,-,NAD synthetase,protein-coding,-,-,-,NAD synthetase,20200909,-
444859,10327421,SSM1_207,SSM1_207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444859,10327422,SSM1_206,SSM1_206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
