#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1572716,40076150,FDH40_gp001,FDH40_gp001,CPT_Mushroom1,-,-,-,rIIa protein,protein-coding,-,-,-,rIIa protein,20200629,-
1572716,40076151,FDH40_gp002,FDH40_gp002,CPT_Mushroom2,-,-,-,heat shock protein,protein-coding,-,-,-,heat shock protein,20200629,-
1572716,40076152,FDH40_gp003,FDH40_gp003,CPT_Mushroom3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076153,FDH40_gp004,FDH40_gp004,CPT_Mushroom4,-,-,-,nicotinamide phosphoribosyl transferase,protein-coding,-,-,-,nicotinamide phosphoribosyl transferase,20200629,-
1572716,40076154,FDH40_gp005,FDH40_gp005,CPT_Mushroom5,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20200629,-
1572716,40076155,FDH40_gp006,FDH40_gp006,CPT_Mushroom6,-,-,-,ribose-phosphate diphosphokinase,protein-coding,-,-,-,ribose-phosphate diphosphokinase,20200629,-
1572716,40076156,FDH40_gp007,FDH40_gp007,CPT_Mushroom7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076157,FDH40_gp008,FDH40_gp008,CPT_Mushroom8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076158,FDH40_gp009,FDH40_gp009,CPT_Mushroom9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076159,FDH40_gp010,FDH40_gp010,CPT_Mushroom10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076160,FDH40_gp011,FDH40_gp011,CPT_Mushroom11,-,-,-,anaerobic nucleoside-triphosphate reductase subunit,protein-coding,-,-,-,anaerobic nucleoside-triphosphate reductase subunit,20200629,-
1572716,40076161,FDH40_gp012,FDH40_gp012,CPT_Mushroom12,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200629,-
1572716,40076162,FDH40_gp013,FDH40_gp013,CPT_Mushroom13,-,-,-,anaerobic nucleoside-diphosphate reductase,protein-coding,-,-,-,anaerobic nucleoside-diphosphate reductase,20200629,-
1572716,40076163,FDH40_gp014,FDH40_gp014,CPT_Mushroom14,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210417,-
1572716,40076164,FDH40_gp015,FDH40_gp015,CPT_Mushroom15,-,-,-,anaerobic nucleoside-diphosphate reductase,protein-coding,-,-,-,anaerobic nucleoside-diphosphate reductase,20210417,-
1572716,40076165,FDH40_gp016,FDH40_gp016,CPT_Mushroom16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076166,FDH40_gp017,FDH40_gp017,CPT_Mushroom17,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200629,-
1572716,40076167,FDH40_gp018,FDH40_gp018,CPT_Mushroom18,-,-,-,ribonucleotide reductase small subunit,protein-coding,-,-,-,ribonucleotide reductase small subunit,20200629,-
1572716,40076168,FDH40_gp019,FDH40_gp019,CPT_Mushroom19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076169,FDH40_gp020,FDH40_gp020,CPT_Mushroom20,-,-,-,ribonucleotide reductase large subunit,protein-coding,-,-,-,ribonucleotide reductase large subunit,20210130,-
1572716,40076170,FDH40_gp021,FDH40_gp021,CPT_Mushroom21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076171,FDH40_gp022,FDH40_gp022,CPT_Mushroom22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076172,FDH40_gp023,FDH40_gp023,CPT_Mushroom23,-,-,-,nucleoside triphosphate pyrophosphohydrolase,protein-coding,-,-,-,nucleoside triphosphate pyrophosphohydrolase,20210417,-
1572716,40076173,FDH40_gp024,FDH40_gp024,CPT_Mushroom24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076174,FDH40_gp025,FDH40_gp025,CPT_Mushroom25,-,-,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20210417,-
1572716,40076175,FDH40_gp026,FDH40_gp026,CPT_Mushroom26,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20200629,-
1572716,40076176,FDH40_gp027,FDH40_gp027,CPT_Mushroom27,-,-,-,exodeoxyribonuclease,protein-coding,-,-,-,exodeoxyribonuclease,20200629,-
1572716,40076177,FDH40_gp028,FDH40_gp028,CPT_Mushroom28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076178,FDH40_gp029,FDH40_gp029,CPT_Mushroom29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076179,FDH40_gp030,FDH40_gp030,CPT_Mushroom30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572716,40076180,FDH40_gp031,FDH40_gp031,CPT_Mushroom31,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210417,-
