#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1885242,55600956,HWB00_gp002,HWB00_gp002,B_002,-,-,-,rIIA,protein-coding,-,-,-,rIIA,20200620,-
1885242,55600957,HWB00_gp003,HWB00_gp003,B_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600958,HWB00_gp004,HWB00_gp004,B_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1885242,55600959,HWB00_gp005,HWB00_gp005,B_005,-,-,-,topoisomerase II medium subunit,protein-coding,-,-,-,topoisomerase II medium subunit,20210424,-
1885242,55600960,HWB00_gp006,HWB00_gp006,B_006,-,-,-,topoisomerase II large subunit,protein-coding,-,-,-,topoisomerase II large subunit,20210424,-
1885242,55600961,HWB00_gp007,HWB00_gp007,B_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1885242,55600962,HWB00_gp008,HWB00_gp008,B_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600963,HWB00_gp009,HWB00_gp009,B_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600964,HWB00_gp010,HWB00_gp010,B_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600965,HWB00_gp011,HWB00_gp011,B_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600966,HWB00_gp012,HWB00_gp012,B_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600967,HWB00_gp013,HWB00_gp013,B_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600968,HWB00_gp014,HWB00_gp014,B_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600969,HWB00_gp015,HWB00_gp015,B_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600970,HWB00_gp016,HWB00_gp016,B_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600971,HWB00_gp017,HWB00_gp017,B_017,-,-,-,endonuclease V,protein-coding,-,-,-,endonuclease V,20210424,-
1885242,55600972,HWB00_gp018,HWB00_gp018,B_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600973,HWB00_gp019,HWB00_gp019,B_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600974,HWB00_gp020,HWB00_gp020,B_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600975,HWB00_gp021,HWB00_gp021,B_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1885242,55600976,HWB00_gp022,HWB00_gp022,B_022,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
1885242,55600977,HWB00_gp023,HWB00_gp023,B_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600978,HWB00_gp024,HWB00_gp024,B_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600979,HWB00_gp025,HWB00_gp025,B_025,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210116,-
1885242,55600980,HWB00_gp026,HWB00_gp026,B_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600981,HWB00_gp027,HWB00_gp027,B_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600982,HWB00_gp028,HWB00_gp028,B_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1885242,55600983,HWB00_gp029,HWB00_gp029,B_029,-,-,-,primase,protein-coding,-,-,-,primase,20210424,-
1885242,55600984,HWB00_gp030,HWB00_gp030,B_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1885242,55600985,HWB00_gp031,HWB00_gp031,B_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
