#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
209559,43621699,BDW43DRAFT_100089,BDW43DRAFT_100089,-,-,Unknown,-,XRCC4-like factor-domain-containing protein,protein-coding,-,-,-,XRCC4-like factor-domain-containing protein,20210306,-
209559,43621700,BDW43DRAFT_100133,BDW43DRAFT_100133,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
209559,43621701,BDW43DRAFT_100155,BDW43DRAFT_100155,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
209559,43621702,BDW43DRAFT_100160,BDW43DRAFT_100160,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20201217,-
209559,43621703,BDW43DRAFT_100177,BDW43DRAFT_100177,-,-,Unknown,-,PRMT5 arginine-N-methyltransferase-domain-containing protein,protein-coding,-,-,-,PRMT5 arginine-N-methyltransferase-domain-containing protein,20210306,-
209559,43621704,BDW43DRAFT_100207,BDW43DRAFT_100207,-,-,Unknown,-,myosin-binding striated muscle assembly central-domain-containing protein,protein-coding,-,-,-,myosin-binding striated muscle assembly central-domain-containing protein,20210306,-
209559,43621705,BDW43DRAFT_100239,BDW43DRAFT_100239,-,-,Unknown,-,Glycerophosphoryl diester phosphodiesterase family-domain-containing protein,protein-coding,-,-,-,Glycerophosphoryl diester phosphodiesterase family-domain-containing protein,20201217,-
209559,43621706,BDW43DRAFT_10026,BDW43DRAFT_10026,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
209559,43621707,BDW43DRAFT_10035,BDW43DRAFT_10035,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
209559,43621708,BDW43DRAFT_100471,BDW43DRAFT_100471,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20201217,-
209559,43621709,BDW43DRAFT_100547,BDW43DRAFT_100547,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201217,-
209559,43621710,BDW43DRAFT_100631,BDW43DRAFT_100631,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210306,-
209559,43621711,BDW43DRAFT_100645,BDW43DRAFT_100645,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201217,-
209559,43621712,BDW43DRAFT_100660,BDW43DRAFT_100660,-,-,Unknown,-,mRNA cleavage and polyadenylation factor clp1,protein-coding,-,-,-,mRNA cleavage and polyadenylation factor clp1,20201217,-
209559,43621713,BDW43DRAFT_100743,BDW43DRAFT_100743,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200918,-
209559,43621714,BDW43DRAFT_100756,BDW43DRAFT_100756,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201217,-
