#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1327952,15957104,M695_gp02,M695_gp02,Leo_002,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1327952,15957105,M695_gp03,M695_gp03,Leo_003,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1327952,15957106,M695_gp04,M695_gp04,Leo_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957107,M695_gp05,M695_gp05,Leo_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957108,M695_gp06,M695_gp06,Leo_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957109,M695_gp07,M695_gp07,Leo_007,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210424,-
1327952,15957110,M695_gp08,M695_gp08,Leo_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957111,M695_gp09,M695_gp09,Leo_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957112,M695_gp10,M695_gp10,Leo_0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957113,M695_gp11,M695_gp11,Leo_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957114,M695_gp12,M695_gp12,Leo_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957115,M695_gp13,M695_gp13,Leo_0013,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1327952,15957116,M695_gp14,M695_gp14,Leo_0014,-,-,-,putative virion protein,protein-coding,-,-,-,putative virion protein,20201221,-
1327952,15957117,M695_gp15,M695_gp15,Leo_0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1327952,15957118,M695_gp16,M695_gp16,Leo_0016,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1327952,15957119,M695_gp17,M695_gp17,Leo_0017,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1327952,15957120,M695_gp18,M695_gp18,Leo_0018,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1327952,15957121,M695_gp19,M695_gp19,Leo_0019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957122,M695_gp20,M695_gp20,Leo_0020,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1327952,15957123,M695_gp21,M695_gp21,Leo_0021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957124,M695_gp22,M695_gp22,Leo_0022,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1327952,15957125,M695_gp23,M695_gp23,Leo_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957126,M695_gp24,M695_gp24,Leo_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957127,M695_gp25,M695_gp25,Leo_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957128,M695_gp26,M695_gp26,Leo_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957129,M695_gp27,M695_gp27,Leo_0027,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1327952,15957130,M695_gp28,M695_gp28,Leo_0028,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1327952,15957131,M695_gp29,M695_gp29,Leo_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957132,M695_gp30,M695_gp30,Leo_0030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957133,M695_gp31,M695_gp31,Leo_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957134,M695_gp32,M695_gp32,Leo_0032,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1327952,15957135,M695_gp33,M695_gp33,Leo_0033,-,-,-,RDF protein,protein-coding,-,-,-,RDF protein,20201221,-
1327952,15957136,M695_gp34,M695_gp34,Leo_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957137,M695_gp35,M695_gp35,Leo_0035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957138,M695_gp36,M695_gp36,Leo_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957139,M695_gp37,M695_gp37,Leo_0037,-,-,-,ASC-1-like protein,protein-coding,-,-,-,ASC-1-like protein,20201221,-
1327952,15957140,M695_gp38,M695_gp38,Leo_0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957141,M695_gp39,M695_gp39,Leo_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957142,M695_gp40,M695_gp40,Leo_0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957143,M695_gp41,M695_gp41,Leo_0041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957144,M695_gp42,M695_gp42,Leo_0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327952,15957145,M695_gp43,M695_gp43,Leo_0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
